,Velocity,Note,Start,Duration
0,64,0,0.0,1.0
1,64,1,1.0,1.0
2,64,1,2.0,1.0
3,64,4,3.0,1.0
4,64,1,4.0,1.0
5,64,8,4.0,1.0
6,64,1,5.0,1.0
7,64,4,6.0,1.0
8,64,14,6.0,1.0
9,64,5,8.0,1.0
10,64,8,8.0,1.0
11,64,1,8.0,1.0
12,64,1,10.0,1.0
13,64,4,10.0,1.0
14,64,11,11.0,1.0
15,64,4,12.0,1.0
16,64,16,12.0,1.0
17,64,14,12.0,1.0
18,64,1,13.0,1.0
19,64,2,14.0,1.0
20,64,4,15.0,1.0
21,64,8,16.0,1.0
22,64,12,16.0,1.0
23,64,5,16.0,1.0
24,64,10,17.0,1.0
25,64,19,19.0,1.0
26,64,23,20.0,1.0
27,64,4,20.0,1.0
28,64,1,20.0,1.0
29,64,8,20.0,1.0
30,64,7,22.0,1.0
31,64,11,22.0,1.0
32,64,18,23.0,1.0
33,64,16,24.0,1.0
34,64,14,24.0,1.0
35,64,4,24.0,1.0
36,64,17,25.0,1.0
37,64,1,26.0,1.0
38,64,26,27.0,1.0
39,64,2,28.0,1.0
40,64,30,28.0,1.0
41,64,13,29.0,1.0
42,64,4,30.0,1.0
43,64,14,30.0,1.0
44,64,25,31.0,1.0
45,64,5,32.0,1.0
46,64,12,32.0,1.0
47,64,8,32.0,1.0
48,64,28,33.0,1.0
49,64,10,34.0,1.0
50,64,32,35.0,1.0
51,64,34,36.0,1.0
52,64,21,37.0,1.0
53,64,19,38.0,1.0
54,64,22,38.0,1.0
55,64,23,40.0,1.0
56,64,4,40.0,1.0
57,64,5,40.0,1.0
58,64,9,40.0,1.0
59,64,8,40.0,1.0
60,64,1,40.0,1.0
61,64,22,41.0,1.0
62,64,11,43.0,1.0
63,64,34,44.0,1.0
64,64,7,44.0,1.0
65,64,11,44.0,1.0
66,64,18,46.0,1.0
67,64,14,46.0,1.0
68,64,20,48.0,1.0
69,64,16,48.0,1.0
70,64,14,48.0,1.0
71,64,4,50.0,1.0
72,64,17,50.0,1.0
73,64,0,50.0,1.0
74,64,4,51.0,1.0
75,64,30,52.0,1.0
76,64,1,52.0,1.0
77,64,33,53.0,1.0
78,64,26,54.0,1.0
79,64,1,54.0,1.0
80,64,11,55.0,1.0
81,64,2,56.0,1.0
82,64,30,56.0,1.0
83,64,12,56.0,1.0
84,64,10,57.0,1.0
85,64,13,58.0,1.0
86,64,32,59.0,1.0
87,64,14,60.0,1.0
88,64,16,60.0,1.0
89,64,23,60.0,1.0
90,64,4,60.0,1.0
91,64,25,62.0,1.0
92,64,6,62.0,1.0
93,64,6,63.0,1.0
94,64,5,64.0,1.0
95,64,12,64.0,1.0
96,64,1,65.0,1.0
97,64,24,65.0,1.0
98,64,28,66.0,1.0
99,64,26,67.0,1.0
100,64,16,68.0,1.0
101,64,10,68.0,1.0
102,64,12,69.0,1.0
103,64,2,70.0,1.0
104,64,32,70.0,1.0
105,64,1,71.0,1.0
106,64,34,72.0,1.0
107,64,29,73.0,1.0
108,64,21,74.0,1.0
109,64,19,75.0,1.0
110,64,19,76.0,1.0
111,64,8,76.0,1.0
112,64,22,76.0,1.0
113,64,20,77.0,1.0
114,64,21,78.0,1.0
115,64,9,80.0,1.0
116,64,4,80.0,1.0
117,64,23,80.0,1.0
118,64,8,80.0,1.0
119,64,12,80.0,1.0
120,64,5,80.0,1.0
121,64,1,81.0,1.0
122,64,22,82.0,1.0
123,64,19,83.0,1.0
124,64,30,84.0,1.0
125,64,10,85.0,1.0
126,64,14,86.0,1.0
127,64,11,86.0,1.0
128,64,3,88.0,1.0
129,64,7,88.0,1.0
130,64,11,88.0,1.0
131,64,34,88.0,1.0
132,64,0,90.0,1.0
133,64,11,91.0,1.0
134,64,14,92.0,1.0
135,64,18,92.0,1.0
136,64,34,92.0,1.0
137,64,7,93.0,1.0
138,64,6,94.0,1.0
139,64,19,95.0,1.0
140,64,8,96.0,1.0
141,64,20,96.0,1.0
142,64,16,96.0,1.0
143,64,10,97.0,1.0
144,64,4,99.0,1.0
145,64,8,100.0,1.0
146,64,23,100.0,1.0
147,64,4,100.0,1.0
148,64,0,100.0,1.0
149,64,17,100.0,1.0
150,64,1,102.0,1.0
151,64,4,102.0,1.0
152,64,15,103.0,1.0
153,64,1,104.0,1.0
154,64,30,104.0,1.0
155,64,17,105.0,1.0
156,64,33,106.0,1.0
157,64,32,107.0,1.0
158,64,26,108.0,1.0
159,64,16,108.0,1.0
160,64,1,108.0,1.0
161,64,29,109.0,1.0
162,64,11,110.0,1.0
163,64,7,110.0,1.0
164,64,22,111.0,1.0
165,64,30,112.0,1.0
166,64,2,112.0,1.0
167,64,12,112.0,1.0
168,64,28,113.0,1.0
169,64,10,114.0,1.0
170,64,26,115.0,1.0
171,64,18,115.0,1.0
172,64,13,116.0,1.0
173,64,23,116.0,1.0
174,64,22,117.0,1.0
175,64,32,118.0,1.0
176,64,21,118.0,1.0
177,64,14,120.0,1.0
178,64,23,120.0,1.0
179,64,4,120.0,1.0
180,64,16,120.0,1.0
181,64,24,120.0,1.0
182,64,28,121.0,1.0
183,64,19,123.0,1.0
184,64,25,124.0,1.0
185,64,23,124.0,1.0
186,64,6,124.0,1.0
187,64,17,125.0,1.0
188,64,14,126.0,1.0
189,64,6,126.0,1.0
190,64,25,128.0,1.0
191,64,12,128.0,1.0
192,64,0,130.0,1.0
193,64,24,130.0,1.0
194,64,1,130.0,1.0
195,64,26,131.0,1.0
196,64,28,132.0,1.0
197,64,30,132.0,1.0
198,64,7,133.0,1.0
199,64,6,134.0,1.0
200,64,26,134.0,1.0
201,64,26,135.0,1.0
202,64,16,136.0,1.0
203,64,18,136.0,1.0
204,64,10,136.0,1.0
205,64,10,137.0,1.0
206,64,12,138.0,1.0
207,64,32,139.0,1.0
208,64,32,140.0,1.0
209,64,30,140.0,1.0
210,64,34,140.0,1.0
211,64,2,140.0,1.0
212,64,1,142.0,1.0
213,64,12,143.0,1.0
214,64,34,144.0,1.0
215,64,13,145.0,1.0
216,64,9,145.0,1.0
