Message,Note,Velocity,Time
note_on,0,64,960
note_off,0,64,480
note_off,0,64,1440
note_on,0,64,0
note_off,0,64,1440
note_off,0,64,480
note_on,0,64,0
note_off,0,64,2400
note_off,0,64,960
note_on,0,64,0
note_off,0,64,480
note_off,0,64,5760
note_on,0,64,0
note_off,0,64,960
note_on,0,64,0
note_off,0,64,480
note_off,0,64,6720
note_on,0,64,0
note_off,0,64,480
note_off,0,64,1440
note_on,0,64,0
note_off,0,64,1440
note_off,0,64,3840
note_on,0,64,0
note_off,0,64,480
note_off,0,64,6720
note_on,0,64,0
note_off,0,64,480
note_off,0,64,3360
note_on,0,64,0
note_off,0,64,2400
note_off,0,64,960
note_on,0,64,0
note_off,0,64,480
note_off,0,64,1440
note_on,0,64,0
note_off,0,64,1440
note_off,0,64,3840
note_on,0,64,0
note_off,0,64,480
note_off,0,64,6720
note_on,0,64,0
note_off,0,64,480
note_off,0,64,6720
note_on,0,64,0
note_off,0,64,480
note_off,0,64,1440
note_on,0,64,0
note_off,0,64,1440
note_off,0,64,3840
note_on,0,64,0
note_off,0,64,480
note_off,0,64,3360
note_on,0,64,0
note_off,0,64,2400
note_off,0,64,960
note_on,0,64,0
note_off,0,64,480
note_off,0,64,6720
note_on,0,64,0
note_off,0,64,480
note_off,0,64,1440
note_on,0,64,0
note_off,0,64,1440
note_off,0,64,3840
note_on,0,64,0
note_off,0,64,480
note_off,0,64,6720
note_on,0,64,0
note_off,0,64,480
note_on,0,0,0
note_off,0,0,5760
