,Start,Velocity,Note,Duration
0,0.0,64,40.0,0.666667
1,0.666667,64,41.0,1.333333
2,2.0,64,43.0,0.666667
3,2.666667,64,44.0,0.333333
4,3.0,64,43.0,0.333333
5,3.333333,64,41.0,0.666667
6,4.0,64,43.0,1.0
7,5.0,64,41.0,0.333333
8,5.333333,64,43.1,0.666667
9,6.0,64,43.0,1.333333
10,7.333333,64,45.4,0.666667
11,8.0,64,46.0,0.666667
12,8.666667,64,41.0,0.666666
13,9.333333,64,41.3,0.666667
14,10.0,64,43.0,0.666667
15,10.666667,64,43.1,0.333333
16,11.0,64,45.4,0.333333
17,11.333333,64,45.0,0.666667
18,12.0,64,46.0,0.666667
19,12.666667,64,47.8,0.333333
20,13.0,64,53.0,0.333333
21,13.333333,64,48.8,0.666667
22,14.0,64,53.3,0.666667
23,14.666667,64,57.4,0.333333
24,15.0,64,55.0,0.333333
25,15.333333,64,59.6,0.666667
26,16.0,64,58.4,0.666667
27,16.666667,64,59.5,0.333333
28,17.0,64,57.0,0.333333
29,17.333333,64,53.0,0.666667
30,18.0,64,50.2,0.666667
31,18.666667,64,51.2,0.333333
32,19.0,64,47.8,0.333333
33,19.333333,64,45.8,0.666667
34,20.0,64,46.0,0.666667
35,20.666667,64,50.0,0.666666
36,21.333333,64,45.5,0.666667
37,22.0,64,45.4,0.666667
38,22.666667,64,45.0,0.333333
39,23.0,64,47.6,0.333333
40,23.333333,64,52.6,0.666667
41,24.0,64,53.6,0.666667
42,24.666667,64,48.2,0.333333
43,25.0,64,47.5,0.333333
44,25.333333,64,48.5,0.666667
45,26.0,64,53.0,0.666667
46,26.666667,64,48.8,0.333333
47,27.0,64,50.2,0.333333
48,27.333333,64,48.5,0.666667
49,28.0,64,51.2,0.666667
50,28.666667,64,45.4,0.333333
51,29.0,64,45.8,1.0
52,30.0,64,46.0,1.000000
53,31.0,64,50.0,1.0
54,32.0,64,46.0,1.0
55,33.0,64,50.6,0.333333
56,33.333333,64,47.5,0.666667
