,Type,Channel,Note,Pitch,Velocity,Time,Duration
0,note_on,0,65,--,64,1024,1.0
1,note_off,0,65,--,0,512,0.5
2,note_on,0,67,--,64,0,0.0
3,note_off,0,67,--,0,512,0.5
4,note_on,0,69,--,64,0,0.0
5,note_off,0,69,--,0,512,0.5
6,note_on,0,72,--,64,0,0.0
7,note_off,0,72,--,0,512,0.5
8,note_on,0,74,--,64,0,0.0
9,note_off,0,74,--,0,512,0.5
10,note_on,0,77,--,64,0,0.0
11,note_off,0,77,--,0,512,0.5
12,note_on,0,79,--,64,0,0.0
13,note_on,0,50,--,64,0,0.0
14,note_on,0,53,--,64,0,0.0
15,note_on,0,57,--,64,0,0.0
16,note_off,0,50,--,0,2048,2.0
17,note_off,0,53,--,0,0,0.0
18,note_off,0,57,--,0,0,0.0
19,note_on,0,50,--,64,0,0.0
20,note_on,0,53,--,64,0,0.0
21,note_on,0,57,--,64,0,0.0
22,note_on,0,61,--,64,0,0.0
23,note_off,0,50,--,0,2048,2.0
24,note_off,0,53,--,0,0,0.0
25,note_off,0,57,--,0,0,0.0
26,note_off,0,61,--,0,0,0.0
27,note_on,0,50,--,64,0,0.0
28,note_on,0,53,--,64,0,0.0
29,note_on,0,57,--,64,0,0.0
30,note_on,0,60,--,64,0,0.0
31,note_off,0,79,--,0,1024,1.0
32,note_on,0,77,--,64,0,0.0
33,note_off,0,77,--,0,512,0.5
34,note_on,0,79,--,64,0,0.0
35,note_off,0,79,--,0,512,0.5
36,note_on,0,77,--,64,0,0.0
37,note_off,0,50,--,0,0,0.0
38,note_off,0,53,--,0,0,0.0
39,note_off,0,57,--,0,0,0.0
40,note_off,0,60,--,0,0,0.0
41,note_on,0,50,--,64,0,0.0
42,note_on,0,53,--,64,0,0.0
43,note_on,0,57,--,64,0,0.0
44,note_on,0,59,--,64,0,0.0
45,note_off,0,77,--,0,512,0.5
46,note_on,0,76,--,64,0,0.0
47,note_off,0,76,--,0,512,0.5
48,note_on,0,74,--,64,0,0.0
49,note_off,0,74,--,0,512,0.5
50,note_on,0,72,--,64,0,0.0
51,note_off,0,72,--,0,512,0.5
52,note_off,0,50,--,0,0,0.0
53,note_off,0,53,--,0,0,0.0
54,note_off,0,57,--,0,0,0.0
55,note_off,0,59,--,0,0,0.0
56,note_on,0,69,--,64,0,0.0
57,note_on,0,43,--,64,0,0.0
58,note_on,0,46,--,64,0,0.0
59,note_on,0,50,--,64,0,0.0
60,note_off,0,69,--,0,1024,1.0
61,note_on,0,74,--,64,0,0.0
62,note_off,0,74,--,0,512,0.5
63,note_on,0,69,--,64,0,0.0
64,note_off,0,43,--,0,512,0.5
