Message,Note,Velocity,Time,Pitch
note_on,43,64,180,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,360,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,360,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,300,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,240,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,420,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,300,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,300,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,360,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,300,
note_on,43,64,0,
note_off,43,64,360,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,300,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,420,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,420,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,300,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,240,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,300,
note_on,43,64,0,
note_off,43,64,480,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,360,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,360,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,300,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,420,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,420,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,300,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,480,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,240,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,300,
note_on,43,64,0,
note_off,43,64,360,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,300,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,420,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,300,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,180,
note_on,43,64,0,
note_off,43,64,300,
note_on,43,64,0,
note_off,43,64,60,
note_on,43,64,0,
note_off,43,64,300,
note_on,43,64,0,
note_off,43,64,120,
note_on,43,64,0,
note_off,43,64,180,
