,Start,Message,Note,Pitch,Velocity,Time
0,0.0,note_on,40,0,64,0
1,0.0,note_off,40,0,64,480
2,1.0,note_on,41,0,64,0
3,1.0,note_off,41,0,64,960
4,3.0,note_on,43,0,64,0
5,3.0,note_off,43,0,64,480
6,4.0,note_on,44,0,64,0
7,4.0,note_off,44,0,64,480
8,5.0,note_on,41,0,64,0
9,5.0,note_off,41,0,64,480
10,6.0,note_on,43,0,64,0
11,6.0,note_off,43,0,64,480
12,8.0,note_on,43,409,64,0
13,8.0,pitchwheel,43,409,64,0
14,8.0,note_off,43,409,64,480
15,10.0,note_on,43,0,64,0
16,10.0,note_off,43,0,64,480
17,11.0,note_on,45,1638,64,0
18,11.0,pitchwheel,45,1638,64,0
19,11.0,note_off,45,1638,64,480
20,12.0,note_on,46,0,64,0
21,12.0,note_off,46,0,64,480
22,13.0,note_on,41,0,64,0
23,13.0,note_off,41,0,64,480
24,14.0,note_on,41,1228,64,0
25,14.0,pitchwheel,41,1228,64,0
26,14.0,note_off,41,1228,64,480
27,15.0,note_on,43,0,64,0
28,15.0,note_off,43,0,64,480
29,16.0,note_on,43,409,64,0
30,16.0,pitchwheel,43,409,64,0
31,16.0,note_off,43,409,64,480
32,17.0,note_on,45,0,64,0
33,17.0,note_off,45,0,64,480
34,19.0,note_on,47,3276,64,0
35,19.0,pitchwheel,47,3276,64,0
36,19.0,note_off,47,3276,64,480
37,20.0,note_on,48,3276,64,0
38,20.0,pitchwheel,48,3276,64,0
39,20.0,note_off,48,3276,64,480
40,22.0,note_on,45,1638,64,0
41,22.0,pitchwheel,45,1638,64,0
42,22.0,note_off,45,1638,64,480
43,23.0,note_on,47,2457,64,0
44,23.0,pitchwheel,47,2457,64,0
45,23.0,note_off,47,2457,64,480
46,24.0,note_on,46,1638,64,0
47,24.0,pitchwheel,46,1638,64,0
48,24.0,note_off,46,1638,64,480
49,25.0,note_on,47,2047,64,0
50,25.0,pitchwheel,47,2047,64,0
51,25.0,note_off,47,2047,64,480
52,26.0,note_on,53,0,64,0
53,26.0,note_off,53,0,64,480
54,27.0,note_on,50,819,64,0
55,27.0,pitchwheel,50,819,64,0
56,27.0,note_off,50,819,64,480
57,28.0,note_on,51,819,64,0
58,28.0,pitchwheel,51,819,64,0
59,28.0,note_off,51,819,64,480
60,29.0,note_on,45,3276,64,0
61,29.0,pitchwheel,45,3276,64,0
62,29.0,note_off,45,3276,64,480
63,30.0,note_on,46,0,64,0
64,30.0,note_off,46,0,64,480
65,31.0,note_on,50,0,64,0
66,31.0,note_off,50,0,64,480
67,32.0,note_on,45,2047,64,0
68,32.0,pitchwheel,45,2047,64,0
69,32.0,note_off,45,2047,64,480
70,33.0,note_on,50,2457,64,0
71,33.0,pitchwheel,50,2457,64,0
72,33.0,note_off,50,2457,64,480
73,34.0,note_on,45,0,64,0
74,34.0,note_off,45,0,64,480
75,35.0,note_on,40,2457,64,0
76,35.0,pitchwheel,40,2457,64,0
77,35.0,note_off,40,2457,64,480
78,36.0,note_on,41,2457,64,0
79,36.0,pitchwheel,41,2457,64,0
80,36.0,note_off,41,2457,64,480
81,37.0,note_on,36,819,64,0
82,37.0,pitchwheel,36,819,64,0
83,37.0,note_off,36,819,64,480
84,38.0,note_on,36,2047,64,0
85,38.0,pitchwheel,36,2047,64,0
86,38.0,note_off,36,2047,64,480
87,40.0,note_on,36,3276,64,0
88,40.0,pitchwheel,36,3276,64,0
89,40.0,note_off,36,3276,64,480
90,41.0,note_on,36,2047,64,0
91,41.0,pitchwheel,36,2047,64,0
92,41.0,note_off,36,2047,64,480
93,43.0,note_on,33,1638,64,0
94,43.0,pitchwheel,33,1638,64,0
95,43.0,note_off,33,1638,64,960
96,46.0,note_on,34,0,64,0
97,46.0,note_off,34,0,64,480
98,48.0,note_on,34,0,64,0
99,48.0,note_off,34,0,64,480
100,50.0,note_on,35,2047,64,0
101,50.0,pitchwheel,35,2047,64,0
102,50.0,note_off,35,2047,64,480
103,51.0,note_on,31,0,64,0
104,51.0,note_off,31,0,64,480
105,52.0,note_on,29,0,64,0
106,52.0,note_off,29,0,64,480
107,53.0,note_on,40,2866,64,0
108,53.0,pitchwheel,40,2866,64,0
109,53.0,note_off,40,2866,64,480
110,54.0,note_on,38,819,64,0
111,54.0,pitchwheel,38,819,64,0
112,54.0,note_off,38,819,64,480
113,55.0,note_on,33,1638,64,0
114,55.0,pitchwheel,33,1638,64,0
115,55.0,note_off,33,1638,64,480
116,56.0,note_on,33,2047,64,0
117,56.0,pitchwheel,33,2047,64,0
118,56.0,note_off,33,2047,64,480
119,57.0,note_on,33,0,64,0
120,57.0,note_off,33,0,64,480
121,58.0,note_on,33,3276,64,0
122,58.0,pitchwheel,33,3276,64,0
123,58.0,note_off,33,3276,64,480
124,59.0,note_on,40,2457,64,0
125,59.0,pitchwheel,40,2457,64,0
126,59.0,note_off,40,2457,64,480
127,60.0,note_on,36,3276,64,0
128,60.0,pitchwheel,36,3276,64,0
129,60.0,note_off,36,3276,64,480
130,62.0,note_on,38,0,64,0
131,62.0,note_off,38,0,64,480
132,63.0,note_on,43,1638,64,0
133,63.0,pitchwheel,43,1638,64,0
134,63.0,note_off,43,1638,64,480
135,64.0,note_on,43,409,64,0
136,64.0,pitchwheel,43,409,64,0
137,64.0,note_off,43,409,64,480
138,65.0,note_on,41,0,64,0
139,65.0,note_off,41,0,64,480
140,66.0,note_on,38,2457,64,0
141,66.0,pitchwheel,38,2457,64,0
142,66.0,note_off,38,2457,64,480
143,67.0,note_on,38,819,64,0
144,67.0,pitchwheel,38,819,64,0
145,67.0,note_off,38,819,64,480
146,68.0,note_on,34,1638,64,0
147,68.0,pitchwheel,34,1638,64,0
148,68.0,note_off,34,1638,64,480
149,69.0,note_on,33,2047,64,0
150,69.0,pitchwheel,33,2047,64,0
151,69.0,note_off,33,2047,64,480
152,70.0,note_on,29,1228,64,0
153,70.0,pitchwheel,29,1228,64,0
154,70.0,note_off,29,1228,64,480
155,71.0,note_on,29,0,64,0
156,71.0,note_off,29,0,64,480
157,72.0,note_on,41,2457,64,0
158,72.0,pitchwheel,41,2457,64,0
159,72.0,note_off,41,2457,64,480
160,73.0,note_on,38,3685,64,0
161,73.0,pitchwheel,38,3685,64,0
162,73.0,note_off,38,3685,64,480
163,74.0,note_on,36,819,64,0
164,74.0,pitchwheel,36,819,64,0
165,74.0,note_off,36,819,64,480
166,75.0,note_on,35,3276,64,0
167,75.0,pitchwheel,35,3276,64,0
168,75.0,note_off,35,3276,64,960
169,77.0,note_on,35,3685,64,0
170,77.0,pitchwheel,35,3685,64,0
171,77.0,note_off,35,3685,64,480
172,78.0,note_on,36,819,64,0
173,78.0,pitchwheel,36,819,64,0
174,78.0,note_off,36,819,64,480
175,80.0,note_on,36,3276,64,0
176,80.0,pitchwheel,36,3276,64,0
177,80.0,note_off,36,3276,64,480
178,81.0,note_on,41,0,64,0
179,81.0,note_off,41,0,64,480
180,82.0,note_on,36,2047,64,0
181,82.0,pitchwheel,36,2047,64,0
182,82.0,note_off,36,2047,64,480
183,83.0,note_on,35,3276,64,0
184,83.0,pitchwheel,35,3276,64,0
185,83.0,note_off,35,3276,64,480
186,84.0,note_on,39,819,64,0
187,84.0,pitchwheel,39,819,64,0
188,84.0,note_off,39,819,64,480
189,85.0,note_on,45,0,64,0
190,85.0,note_off,45,0,64,480
191,86.0,note_on,45,1638,64,0
192,86.0,pitchwheel,45,1638,64,0
193,86.0,note_off,45,1638,64,480
