,Velocity,Note,Start,Duration,Message,MIDI
0,0,0,0.0,0.0,note_off,0.0
1,64,0,0.0,1.0,note_on,
2,64,0,0.0,1.0,note_off,
3,64,1,1.0,1.0,note_on,
4,64,1,1.0,1.0,note_off,
5,64,1,2.0,1.0,note_on,
6,64,1,2.0,1.0,note_off,
7,64,4,3.0,1.0,note_on,
8,64,4,3.0,1.0,note_off,
9,64,1,4.0,1.0,note_on,
10,64,1,4.0,1.0,note_off,
11,64,8,4.0,1.0,note_on,
12,64,8,4.0,1.0,note_off,
13,64,1,5.0,1.0,note_on,
14,64,1,5.0,1.0,note_off,
15,64,4,6.0,1.0,note_on,
16,64,4,6.0,1.0,note_off,
17,64,14,6.0,1.0,note_on,
18,64,14,6.0,1.0,note_off,
19,64,5,8.0,1.0,note_on,
20,64,5,8.0,1.0,note_off,
21,64,8,8.0,1.0,note_on,
22,64,8,8.0,1.0,note_off,
23,64,1,8.0,1.0,note_on,
24,64,1,8.0,1.0,note_off,
25,64,1,10.0,1.0,note_on,
26,64,1,10.0,1.0,note_off,
27,64,4,10.0,1.0,note_on,
28,64,4,10.0,1.0,note_off,
29,64,11,11.0,1.0,note_on,
30,64,11,11.0,1.0,note_off,
31,64,4,12.0,1.0,note_on,
32,64,4,12.0,1.0,note_off,
33,64,16,12.0,1.0,note_on,
34,64,16,12.0,1.0,note_off,
35,64,14,12.0,1.0,note_on,
36,64,14,12.0,1.0,note_off,
37,64,1,13.0,1.0,note_on,
38,64,1,13.0,1.0,note_off,
39,64,2,14.0,1.0,note_on,
40,64,2,14.0,1.0,note_off,
41,64,4,15.0,1.0,note_on,
42,64,4,15.0,1.0,note_off,
43,64,8,16.0,1.0,note_on,
44,64,8,16.0,1.0,note_off,
45,64,12,16.0,1.0,note_on,
46,64,12,16.0,1.0,note_off,
47,64,5,16.0,1.0,note_on,
48,64,5,16.0,1.0,note_off,
49,64,10,17.0,1.0,note_on,
50,64,10,17.0,1.0,note_off,
51,64,19,19.0,1.0,note_on,
52,64,19,19.0,1.0,note_off,
53,64,23,20.0,1.0,note_on,
54,64,23,20.0,1.0,note_off,
55,64,4,20.0,1.0,note_on,
56,64,4,20.0,1.0,note_off,
57,64,1,20.0,1.0,note_on,
58,64,1,20.0,1.0,note_off,
59,64,8,20.0,1.0,note_on,
60,64,8,20.0,1.0,note_off,
61,64,7,22.0,1.0,note_on,
62,64,7,22.0,1.0,note_off,
63,64,11,22.0,1.0,note_on,
64,64,11,22.0,1.0,note_off,
65,64,18,23.0,1.0,note_on,
66,64,18,23.0,1.0,note_off,
67,64,16,24.0,1.0,note_on,
68,64,16,24.0,1.0,note_off,
69,64,14,24.0,1.0,note_on,
70,64,14,24.0,1.0,note_off,
71,64,4,24.0,1.0,note_on,
72,64,4,24.0,1.0,note_off,
73,64,17,25.0,1.0,note_on,
74,64,17,25.0,1.0,note_off,
75,64,1,26.0,1.0,note_on,
76,64,1,26.0,1.0,note_off,
77,64,26,27.0,1.0,note_on,
78,64,26,27.0,1.0,note_off,
79,64,2,28.0,1.0,note_on,
80,64,2,28.0,1.0,note_off,
81,64,30,28.0,1.0,note_on,
82,64,30,28.0,1.0,note_off,
83,64,13,29.0,1.0,note_on,
84,64,13,29.0,1.0,note_off,
85,64,4,30.0,1.0,note_on,
86,64,4,30.0,1.0,note_off,
87,64,14,30.0,1.0,note_on,
88,64,14,30.0,1.0,note_off,
89,64,25,31.0,1.0,note_on,
90,64,25,31.0,1.0,note_off,
91,64,5,32.0,1.0,note_on,
92,64,5,32.0,1.0,note_off,
93,64,12,32.0,1.0,note_on,
94,64,12,32.0,1.0,note_off,
95,64,8,32.0,1.0,note_on,
96,64,8,32.0,1.0,note_off,
97,64,28,33.0,1.0,note_on,
98,64,28,33.0,1.0,note_off,
99,64,10,34.0,1.0,note_on,
100,64,10,34.0,1.0,note_off,
101,64,32,35.0,1.0,note_on,
102,64,32,35.0,1.0,note_off,
103,64,34,36.0,1.0,note_on,
104,64,34,36.0,1.0,note_off,
105,64,21,37.0,1.0,note_on,
106,64,21,37.0,1.0,note_off,
107,64,19,38.0,1.0,note_on,
108,64,19,38.0,1.0,note_off,
109,64,22,38.0,1.0,note_on,
110,64,22,38.0,1.0,note_off,
111,64,23,40.0,1.0,note_on,
112,64,23,40.0,1.0,note_off,
113,64,4,40.0,1.0,note_on,
114,64,4,40.0,1.0,note_off,
115,64,5,40.0,1.0,note_on,
116,64,5,40.0,1.0,note_off,
117,64,9,40.0,1.0,note_on,
118,64,9,40.0,1.0,note_off,
119,64,8,40.0,1.0,note_on,
120,64,8,40.0,1.0,note_off,
121,64,1,40.0,1.0,note_on,
122,64,1,40.0,1.0,note_off,
123,64,22,41.0,1.0,note_on,
124,64,22,41.0,1.0,note_off,
125,64,11,43.0,1.0,note_on,
126,64,11,43.0,1.0,note_off,
127,64,34,44.0,1.0,note_on,
128,64,34,44.0,1.0,note_off,
129,64,7,44.0,1.0,note_on,
130,64,7,44.0,1.0,note_off,
131,64,11,44.0,1.0,note_on,
132,64,11,44.0,1.0,note_off,
133,64,18,46.0,1.0,note_on,
134,64,18,46.0,1.0,note_off,
135,64,14,46.0,1.0,note_on,
136,64,14,46.0,1.0,note_off,
137,64,20,48.0,1.0,note_on,
138,64,20,48.0,1.0,note_off,
139,64,16,48.0,1.0,note_on,
140,64,16,48.0,1.0,note_off,
141,64,14,48.0,1.0,note_on,
142,64,14,48.0,1.0,note_off,
143,64,4,50.0,1.0,note_on,
144,64,4,50.0,1.0,note_off,
145,64,17,50.0,1.0,note_on,
146,64,17,50.0,1.0,note_off,
147,64,0,50.0,1.0,note_on,
148,64,0,50.0,1.0,note_off,
149,64,4,51.0,1.0,note_on,
150,64,4,51.0,1.0,note_off,
151,64,30,52.0,1.0,note_on,
152,64,30,52.0,1.0,note_off,
153,64,1,52.0,1.0,note_on,
154,64,1,52.0,1.0,note_off,
155,64,33,53.0,1.0,note_on,
156,64,33,53.0,1.0,note_off,
157,64,26,54.0,1.0,note_on,
158,64,26,54.0,1.0,note_off,
159,64,1,54.0,1.0,note_on,
160,64,1,54.0,1.0,note_off,
161,64,11,55.0,1.0,note_on,
162,64,11,55.0,1.0,note_off,
163,64,2,56.0,1.0,note_on,
164,64,2,56.0,1.0,note_off,
165,64,30,56.0,1.0,note_on,
166,64,30,56.0,1.0,note_off,
167,64,12,56.0,1.0,note_on,
168,64,12,56.0,1.0,note_off,
169,64,10,57.0,1.0,note_on,
170,64,10,57.0,1.0,note_off,
171,64,13,58.0,1.0,note_on,
172,64,13,58.0,1.0,note_off,
173,64,32,59.0,1.0,note_on,
174,64,32,59.0,1.0,note_off,
175,64,14,60.0,1.0,note_on,
176,64,14,60.0,1.0,note_off,
177,64,16,60.0,1.0,note_on,
178,64,16,60.0,1.0,note_off,
179,64,23,60.0,1.0,note_on,
180,64,23,60.0,1.0,note_off,
181,64,4,60.0,1.0,note_on,
182,64,4,60.0,1.0,note_off,
183,64,25,62.0,1.0,note_on,
184,64,25,62.0,1.0,note_off,
185,64,6,62.0,1.0,note_on,
186,64,6,62.0,1.0,note_off,
187,64,6,63.0,1.0,note_on,
188,64,6,63.0,1.0,note_off,
189,64,5,64.0,1.0,note_on,
190,64,5,64.0,1.0,note_off,
191,64,12,64.0,1.0,note_on,
192,64,12,64.0,1.0,note_off,
193,64,1,65.0,1.0,note_on,
194,64,1,65.0,1.0,note_off,
195,64,24,65.0,1.0,note_on,
196,64,24,65.0,1.0,note_off,
197,64,28,66.0,1.0,note_on,
198,64,28,66.0,1.0,note_off,
199,64,26,67.0,1.0,note_on,
200,64,26,67.0,1.0,note_off,
201,64,16,68.0,1.0,note_on,
202,64,16,68.0,1.0,note_off,
203,64,10,68.0,1.0,note_on,
204,64,10,68.0,1.0,note_off,
205,64,12,69.0,1.0,note_on,
206,64,12,69.0,1.0,note_off,
207,64,2,70.0,1.0,note_on,
208,64,2,70.0,1.0,note_off,
209,64,32,70.0,1.0,note_on,
210,64,32,70.0,1.0,note_off,
211,64,1,71.0,1.0,note_on,
212,64,1,71.0,1.0,note_off,
213,64,34,72.0,1.0,note_on,
214,64,34,72.0,1.0,note_off,
215,64,29,73.0,1.0,note_on,
216,64,29,73.0,1.0,note_off,
217,64,21,74.0,1.0,note_on,
218,64,21,74.0,1.0,note_off,
219,64,19,75.0,1.0,note_on,
220,64,19,75.0,1.0,note_off,
221,64,19,76.0,1.0,note_on,
222,64,19,76.0,1.0,note_off,
