,Start,Velocity,Note,Duration
0,0.000000,64,40,0.666667
1,0.666667,64,41,0.666667
2,1.333333,64,41,0.666667
3,2.000000,64,43,0.666667
4,2.666667,64,41,0.666667
5,2.666667,64,44,0.666667
6,3.333333,64,41,0.666667
7,4.000000,64,43,0.666667
8,4.000000,64,46,0.666667
9,5.333333,64,43.1,0.666667
10,5.333333,64,44,0.666667
11,5.333333,64,41,0.666667
12,6.666667,64,41,0.666667
13,6.666667,64,43.0,0.666667
14,7.333333,64,45.4,0.666667
15,8.000000,64,43,0.666667
16,8.000000,64,46.4,0.666667
17,8.000000,64,46,0.666667
18,8.666667,64,41,0.666667
19,9.333333,64,41.3,0.666667
20,10.000000,64,43,0.666667
21,10.666667,64,44,0.666667
22,10.666667,64,45.5,0.666667
23,10.666667,64,43.1,0.666667
24,11.333333,64,45,0.666667
25,12.666667,64,47.8,0.666667
26,13.333333,64,48.8,0.666667
27,13.333333,64,43.0,0.666667
28,13.333333,64,41,0.666667
29,13.333333,64,44,0.666667
30,14.666667,64,43.7,0.666667
31,14.666667,64,45.4,0.666667
32,15.333333,64,47.6,0.666667
33,16.000000,64,46.4,0.666667
34,16.000000,64,46,0.666667
35,16.000000,64,43,0.666667
36,16.666667,64,47.5,0.666667
37,17.333333,64,41,0.666667
38,18.000000,64,50.2,0.666667
39,18.666667,64,41.3,0.666667
40,18.666667,64,51.2,0.666667
41,19.333333,64,45.8,0.666667
42,20.000000,64,43,0.666667
43,20.000000,64,46,0.666667
44,20.666667,64,50.0,0.666667
45,21.333333,64,43.1,0.666667
46,21.333333,64,45.5,0.666667
47,21.333333,64,44,0.666667
48,22.000000,64,50.6,0.666667
49,22.666667,64,45,0.666667
50,23.333333,64,52.6,0.666667
51,24.000000,64,53.6,0.666667
52,24.666667,64,48.2,0.666667
53,25.333333,64,47.8,0.666667
54,25.333333,64,48.5,0.666667
55,26.666667,64,48.8,0.666667
56,26.666667,64,43.0,0.666667
57,26.666667,64,43.1,0.666667
58,26.666667,64,44.5,0.666667
59,26.666667,64,44,0.666667
60,26.666667,64,41,0.666667
61,27.333333,64,48.5,0.666667
62,28.666667,64,45.4,0.666667
63,29.333333,64,53.6,0.666667
64,29.333333,64,43.7,0.666667
65,29.333333,64,45.4,0.666667
66,30.666667,64,47.6,0.666667
67,30.666667,64,46,0.666667
68,32.000000,64,47.9,0.666667
69,32.000000,64,46.4,0.666667
70,32.000000,64,46,0.666667
71,33.333333,64,43.0,0.666667
72,33.333333,64,47.5,0.666667
73,33.333333,64,40.0,0.666667
74,34.000000,64,43.0,0.666667
75,34.666667,64,51.2,0.666667
76,34.666667,64,41,0.666667
77,35.333333,64,52.7,0.666667
78,36.000000,64,50.2,0.666667
79,36.000000,64,41.0,0.666667
80,36.666667,64,45.4,0.666667
81,37.333333,64,41.3,0.666667
82,37.333333,64,51.2,0.666667
83,37.333333,64,45.5,0.666667
84,38.000000,64,45,0.666667
85,38.666667,64,45.8,0.666667
86,39.333333,64,52.6,0.666667
87,40.000000,64,46,0.666667
88,40.000000,64,46.4,0.666667
89,40.000000,64,48.8,0.666667
90,40.000000,64,43,0.666667
91,41.333333,64,50.0,0.666667
92,41.333333,64,43.4,0.666667
93,42.000000,64,43.4,0.666667
94,42.666667,64,43.1,0.666667
95,42.666667,64,45.5,0.666667
96,43.333333,64,41,0.666667
97,43.333333,64,49.0,0.666667
98,44.000000,64,50.6,0.666667
99,44.666667,64,50.2,0.666667
100,45.333333,64,46.4,0.666667
101,45.333333,64,45,0.666667
102,46.000000,64,45.5,0.666667
103,46.666667,64,41.3,0.666667
104,46.666667,64,52.6,0.666667
105,47.333333,64,41.0,0.666667
106,48.000000,64,53.6,0.666667
107,48.666667,64,50.9,0.666667
108,49.333333,64,48.2,0.666667
109,50.000000,64,47.8,0.666667
110,50.666667,64,47.8,0.666667
111,50.666667,64,44.0,0.666667
112,50.666667,64,48.5,0.666667
113,51.333333,64,47.9,0.666667
114,52.000000,64,48.2,0.666667
115,53.333333,64,44.5,0.666667
116,53.333333,64,43.0,0.666667
117,53.333333,64,48.8,0.666667
118,53.333333,64,44,0.666667
119,53.333333,64,45.5,0.666667
120,53.333333,64,43.1,0.666667
121,54.000000,64,41.0,0.666667
122,54.666667,64,48.5,0.666667
123,55.333333,64,47.8,0.666667
124,56.000000,64,51.2,0.666667
125,56.666667,64,45,0.666667
126,57.333333,64,46,0.666667
