,0
0,note_on channel=0 note=65 velocity=64 time=1024
1,note_off channel=0 note=65 velocity=0 time=512
2,note_on channel=0 note=67 velocity=64 time=0
3,note_off channel=0 note=67 velocity=0 time=512
4,note_on channel=0 note=69 velocity=64 time=0
5,note_off channel=0 note=69 velocity=0 time=512
6,note_on channel=0 note=72 velocity=64 time=0
7,note_off channel=0 note=72 velocity=0 time=512
8,note_on channel=0 note=74 velocity=64 time=0
9,note_off channel=0 note=74 velocity=0 time=512
10,note_on channel=0 note=77 velocity=64 time=0
11,note_off channel=0 note=77 velocity=0 time=512
12,note_on channel=0 note=79 velocity=64 time=0
13,note_on channel=0 note=50 velocity=64 time=0
14,note_on channel=0 note=53 velocity=64 time=0
15,note_on channel=0 note=57 velocity=64 time=0
16,note_off channel=0 note=50 velocity=0 time=2048
17,note_off channel=0 note=53 velocity=0 time=0
18,note_off channel=0 note=57 velocity=0 time=0
19,note_on channel=0 note=50 velocity=64 time=0
20,note_on channel=0 note=53 velocity=64 time=0
21,note_on channel=0 note=57 velocity=64 time=0
22,note_on channel=0 note=61 velocity=64 time=0
23,note_off channel=0 note=50 velocity=0 time=2048
24,note_off channel=0 note=53 velocity=0 time=0
25,note_off channel=0 note=57 velocity=0 time=0
26,note_off channel=0 note=61 velocity=0 time=0
27,note_on channel=0 note=50 velocity=64 time=0
28,note_on channel=0 note=53 velocity=64 time=0
29,note_on channel=0 note=57 velocity=64 time=0
30,note_on channel=0 note=60 velocity=64 time=0
31,note_off channel=0 note=79 velocity=0 time=1024
32,note_on channel=0 note=77 velocity=64 time=0
33,note_off channel=0 note=77 velocity=0 time=512
34,note_on channel=0 note=79 velocity=64 time=0
35,note_off channel=0 note=79 velocity=0 time=512
36,note_on channel=0 note=77 velocity=64 time=0
37,note_off channel=0 note=50 velocity=0 time=0
38,note_off channel=0 note=53 velocity=0 time=0
39,note_off channel=0 note=57 velocity=0 time=0
40,note_off channel=0 note=60 velocity=0 time=0
41,note_on channel=0 note=50 velocity=64 time=0
42,note_on channel=0 note=53 velocity=64 time=0
43,note_on channel=0 note=57 velocity=64 time=0
44,note_on channel=0 note=59 velocity=64 time=0
45,note_off channel=0 note=77 velocity=0 time=512
46,note_on channel=0 note=76 velocity=64 time=0
47,note_off channel=0 note=76 velocity=0 time=512
48,note_on channel=0 note=74 velocity=64 time=0
49,note_off channel=0 note=74 velocity=0 time=512
50,note_on channel=0 note=72 velocity=64 time=0
51,note_off channel=0 note=72 velocity=0 time=512
52,note_off channel=0 note=50 velocity=0 time=0
53,note_off channel=0 note=53 velocity=0 time=0
54,note_off channel=0 note=57 velocity=0 time=0
55,note_off channel=0 note=59 velocity=0 time=0
56,note_on channel=0 note=69 velocity=64 time=0
57,note_on channel=0 note=43 velocity=64 time=0
58,note_on channel=0 note=46 velocity=64 time=0
59,note_on channel=0 note=50 velocity=64 time=0
60,note_off channel=0 note=69 velocity=0 time=1024
61,note_on channel=0 note=74 velocity=64 time=0
62,note_off channel=0 note=74 velocity=0 time=512
63,note_on channel=0 note=69 velocity=64 time=0
64,note_off channel=0 note=43 velocity=0 time=512
65,note_off channel=0 note=46 velocity=0 time=0
66,note_off channel=0 note=50 velocity=0 time=0
67,note_on channel=0 note=43 velocity=64 time=0
68,note_on channel=0 note=46 velocity=64 time=0
69,note_on channel=0 note=50 velocity=64 time=0
70,note_on channel=0 note=54 velocity=64 time=0
71,note_off channel=0 note=43 velocity=0 time=2048
72,note_off channel=0 note=46 velocity=0 time=0
73,note_off channel=0 note=50 velocity=0 time=0
74,note_off channel=0 note=54 velocity=0 time=0
75,note_on channel=0 note=43 velocity=64 time=0
76,note_on channel=0 note=46 velocity=64 time=0
77,note_on channel=0 note=50 velocity=64 time=0
78,note_on channel=0 note=53 velocity=64 time=0
79,note_off channel=0 note=69 velocity=0 time=1024
80,note_on channel=0 note=69 velocity=64 time=0
81,note_off channel=0 note=69 velocity=0 time=512
82,note_on channel=0 note=72 velocity=64 time=0
83,note_off channel=0 note=72 velocity=0 time=512
84,note_on channel=0 note=74 velocity=64 time=0
85,note_off channel=0 note=43 velocity=0 time=0
86,note_off channel=0 note=46 velocity=0 time=0
87,note_off channel=0 note=50 velocity=0 time=0
88,note_off channel=0 note=53 velocity=0 time=0
89,note_on channel=0 note=43 velocity=64 time=0
90,note_on channel=0 note=46 velocity=64 time=0
91,note_on channel=0 note=50 velocity=64 time=0
92,note_on channel=0 note=52 velocity=64 time=0
93,note_off channel=0 note=74 velocity=0 time=512
94,note_on channel=0 note=68 velocity=64 time=0
95,note_off channel=0 note=68 velocity=0 time=512
96,note_on channel=0 note=67 velocity=64 time=0
97,note_off channel=0 note=43 velocity=0 time=0
98,note_off channel=0 note=46 velocity=0 time=0
99,note_off channel=0 note=50 velocity=0 time=0
100,note_off channel=0 note=52 velocity=0 time=0
101,note_on channel=0 note=45 velocity=64 time=0
102,note_on channel=0 note=49 velocity=64 time=0
103,note_on channel=0 note=53 velocity=64 time=0
104,note_on channel=0 note=55 velocity=64 time=0
105,note_off channel=0 note=67 velocity=0 time=512
106,note_on channel=0 note=65 velocity=64 time=0
107,note_off channel=0 note=65 velocity=0 time=512
108,note_off channel=0 note=45 velocity=0 time=0
109,note_off channel=0 note=49 velocity=0 time=0
110,note_off channel=0 note=53 velocity=0 time=0
111,note_off channel=0 note=55 velocity=0 time=0
112,note_on channel=0 note=62 velocity=64 time=0
113,note_on channel=0 note=38 velocity=64 time=0
114,note_on channel=0 note=41 velocity=64 time=0
115,note_on channel=0 note=45 velocity=64 time=0
116,note_on channel=0 note=48 velocity=64 time=0
117,note_off channel=0 note=62 velocity=0 time=2560
118,note_on channel=0 note=65 velocity=64 time=0
119,note_off channel=0 note=65 velocity=0 time=512
120,note_on channel=0 note=69 velocity=64 time=0
121,note_off channel=0 note=69 velocity=0 time=512
122,note_on channel=0 note=72 velocity=64 time=0
123,note_off channel=0 note=72 velocity=0 time=512
124,note_off channel=0 note=38 velocity=0 time=0
125,note_off channel=0 note=41 velocity=0 time=0
126,note_off channel=0 note=45 velocity=0 time=0
127,note_off channel=0 note=48 velocity=0 time=0
128,note_on channel=0 note=76 velocity=64 time=0
129,note_on channel=0 note=38 velocity=64 time=0
130,note_on channel=0 note=42 velocity=64 time=0
131,note_on channel=0 note=45 velocity=64 time=0
132,note_on channel=0 note=48 velocity=64 time=0
133,note_off channel=0 note=76 velocity=0 time=3072
134,note_on channel=0 note=74 velocity=64 time=0
135,note_off channel=0 note=74 velocity=0 time=1024
136,note_off channel=0 note=38 velocity=0 time=0
137,note_off channel=0 note=42 velocity=0 time=0
138,note_off channel=0 note=45 velocity=0 time=0
139,note_off channel=0 note=48 velocity=0 time=0
140,note_on channel=0 note=70 velocity=64 time=0
141,note_on channel=0 note=43 velocity=64 time=0
142,note_on channel=0 note=46 velocity=64 time=0
143,note_on channel=0 note=50 velocity=64 time=0
144,note_on channel=0 note=53 velocity=64 time=0
145,note_off channel=0 note=70 velocity=0 time=2048
146,note_on channel=0 note=64 velocity=64 time=0
147,note_off channel=0 note=43 velocity=0 time=0
148,note_off channel=0 note=46 velocity=0 time=0
149,note_off channel=0 note=50 velocity=0 time=0
150,note_off channel=0 note=53 velocity=0 time=0
151,note_on channel=0 note=42 velocity=64 time=0
152,note_on channel=0 note=46 velocity=64 time=0
153,note_on channel=0 note=49 velocity=64 time=0
154,note_on channel=0 note=52 velocity=64 time=0
155,note_off channel=0 note=64 velocity=0 time=2048
156,note_off channel=0 note=42 velocity=0 time=0
157,note_off channel=0 note=46 velocity=0 time=0
158,note_off channel=0 note=49 velocity=0 time=0
159,note_off channel=0 note=52 velocity=0 time=0
160,note_on channel=0 note=67 velocity=64 time=0
161,note_on channel=0 note=41 velocity=64 time=0
