Offset,Midi
0.0,40
2/3,41
2.0,43
8/3,44
4.0,46
16/3,48
20/3,50
22/3,43
8.0,44
26/3,53
28/3,54
32/3,56
34/3,57
38/3,43
40/3,44
44/3,62
46/3,63
50/3,65
18.0,43
56/3,44
58/3,69
62/3,71
22.0,73
70/3,43
24.0,44
74/3,77
76/3,78
80/3,40
82/3,41
86/3,43
88/3,44
92/3,46
32.0,48
100/3,50
34.0,43
104/3,44
106/3,53
36.0,54
112/3,56
38.0,57
118/3,43
40.0,44
124/3,62
42.0,63
130/3,65
134/3,43
136/3,44
46.0,69
142/3,71
146/3,73
50.0,43
152/3,44
154/3,77
52.0,78
160/3,40
54.0,41
166/3,43
56.0,44
172/3,46
176/3,48
60.0,50
182/3,43
184/3,44
62.0,53
188/3,54
64.0,56
194/3,57
66.0,43
200/3,44
68.0,62
206/3,63
70.0,65
214/3,43
72.0,44
218/3,69
74.0,71
226/3,73
230/3,43
232/3,44
78.0,77
236/3,78
80.0,40
242/3,41
82.0,43
248/3,44
84.0,46
256/3,48
260/3,50
262/3,43
88.0,44
266/3,53
268/3,54
272/3,56
274/3,57
278/3,43
280/3,44
284/3,62
286/3,63
290/3,65
98.0,43
296/3,44
298/3,69
302/3,71
102.0,73
310/3,43
104.0,44
314/3,77
316/3,78
320/3,40
322/3,41
326/3,43
328/3,44
332/3,46
112.0,48
340/3,50
114.0,43
344/3,44
346/3,53
116.0,54
352/3,56
118.0,57
358/3,43
120.0,44
364/3,62
122.0,63
370/3,65
374/3,43
376/3,44
126.0,69
382/3,71
386/3,73
130.0,43
392/3,44
394/3,77
132.0,78
400/3,40
134.0,41
406/3,43
136.0,44
412/3,46
416/3,48
140.0,50
422/3,43
424/3,44
142.0,53
428/3,54
144.0,56
434/3,57
146.0,43
440/3,44
148.0,62
446/3,63
150.0,65
454/3,43
152.0,44
458/3,69
154.0,71
466/3,73
470/3,43
472/3,44
158.0,77
476/3,78
160.0,40
482/3,41
162.0,43
488/3,44
164.0,46
496/3,48
500/3,50
502/3,43
168.0,44
506/3,53
508/3,54
512/3,56
514/3,57
518/3,43
520/3,44
524/3,62
526/3,63
530/3,65
178.0,43
536/3,44
538/3,69
542/3,71
182.0,73
550/3,43
184.0,44
554/3,77
556/3,78
560/3,40
562/3,41
566/3,43
568/3,44
572/3,46
192.0,48
580/3,50
194.0,43
584/3,44
586/3,53
196.0,54
592/3,56
198.0,57
598/3,43
200.0,44
604/3,62
202.0,63
610/3,65
614/3,43
616/3,44
206.0,69
622/3,71
626/3,73
210.0,43
632/3,44
634/3,77
212.0,78
640/3,40
214.0,41
646/3,43
216.0,44
652/3,46
656/3,48
220.0,50
662/3,43
664/3,44
222.0,53
668/3,54
224.0,56
674/3,57
226.0,43
680/3,44
228.0,62
686/3,63
230.0,65
694/3,43
232.0,44
698/3,69
234.0,71
706/3,73
710/3,43
712/3,44
238.0,77
716/3,78
240.0,40
722/3,41
242.0,43
728/3,44
244.0,46
736/3,48
740/3,50
742/3,43
248.0,44
746/3,53
748/3,54
752/3,56
754/3,57
758/3,43
760/3,44
764/3,62
766/3,63
770/3,65
258.0,43
776/3,44
778/3,69
782/3,71
262.0,73
790/3,43
264.0,44
794/3,77
796/3,78
800/3,40
802/3,41
806/3,43
808/3,44
812/3,46
272.0,48
820/3,50
274.0,43
824/3,44
826/3,53
276.0,54
832/3,56
278.0,57
838/3,43
280.0,44
844/3,62
282.0,63
850/3,65
854/3,43
856/3,44
286.0,69
862/3,71
866/3,73
290.0,43
872/3,44
874/3,77
292.0,78
880/3,40
294.0,41
886/3,43
296.0,44
892/3,46
896/3,48
300.0,50
902/3,43
904/3,44
302.0,53
908/3,54
304.0,56
914/3,57
306.0,43
920/3,44
308.0,62
926/3,63
310.0,65
934/3,43
312.0,44
938/3,69
314.0,71
946/3,73
950/3,43
952/3,44
318.0,77
956/3,78
320.0,40
962/3,41
322.0,43
968/3,44
324.0,46
976/3,48
980/3,50
982/3,43
328.0,44
986/3,53
988/3,54
992/3,56
994/3,57
998/3,43
1000/3,44
1004/3,62
1006/3,63
1010/3,65
338.0,43
1016/3,44
1018/3,69
1022/3,71
342.0,73
1030/3,43
344.0,44
1034/3,77
1036/3,78
1040/3,40
1042/3,41
1046/3,43
1048/3,44
1052/3,46
352.0,48
1060/3,50
354.0,43
1064/3,44
1066/3,53
356.0,54
1072/3,56
358.0,57
1078/3,43
360.0,44
1084/3,62
362.0,63
1090/3,65
1094/3,43
1096/3,44
366.0,69
1102/3,71
1106/3,73
370.0,43
1112/3,44
1114/3,77
372.0,78
1120/3,40
374.0,41
1126/3,43
376.0,44
1132/3,46
1136/3,48
380.0,50
1142/3,43
1144/3,44
382.0,53
1148/3,54
384.0,56
1154/3,57
386.0,43
1160/3,44
388.0,62
1166/3,63
390.0,65
1174/3,43
392.0,44
1178/3,69
394.0,71
1186/3,73
1190/3,43
1192/3,44
398.0,77
1196/3,78
400.0,40
1202/3,41
402.0,43
1208/3,44
404.0,46
1216/3,48
1220/3,50
1222/3,43
408.0,44
1226/3,53
1228/3,54
1232/3,56
1234/3,57
1238/3,43
1240/3,44
1244/3,62
1246/3,63
1250/3,65
418.0,43
1256/3,44
1258/3,69
1262/3,71
422.0,73
1270/3,43
424.0,44
1274/3,77
1276/3,78
1280/3,40
1282/3,41
1286/3,43
1288/3,44
1292/3,46
432.0,48
1300/3,50
434.0,43
1304/3,44
1306/3,53
436.0,54
1312/3,56
438.0,57
1318/3,43
440.0,44
1324/3,62
442.0,63
1330/3,65
1334/3,43
1336/3,44
446.0,69
1342/3,71
1346/3,73
450.0,43
1352/3,44
1354/3,77
452.0,78
1360/3,40
454.0,41
1366/3,43
456.0,44
1372/3,46
1376/3,48
460.0,50
1382/3,43
1384/3,44
462.0,53
1388/3,54
464.0,56
1394/3,57
466.0,43
1400/3,44
468.0,62
1406/3,63
470.0,65
1414/3,43
472.0,44
1418/3,69
474.0,71
1426/3,73
1430/3,43
1432/3,44
478.0,77
1436/3,78
480.0,40
1442/3,41
482.0,43
1448/3,44
484.0,46
1456/3,48
1460/3,50
1462/3,43
488.0,44
1466/3,53
1468/3,54
1472/3,56
1474/3,57
1478/3,43
1480/3,44
1484/3,62
1486/3,63
1490/3,65
498.0,43
1496/3,44
1498/3,69
1502/3,71
502.0,73
1510/3,43
504.0,44
1514/3,77
1516/3,78
1520/3,40
1522/3,41
1526/3,43
1528/3,44
1532/3,46
512.0,48
1540/3,50
514.0,43
1544/3,44
1546/3,53
516.0,54
1552/3,56
518.0,57
1558/3,43
520.0,44
1564/3,62
522.0,63
1570/3,65
1574/3,43
1576/3,44
526.0,69
1582/3,71
1586/3,73
530.0,43
1592/3,44
1594/3,77
532.0,78
1600/3,40
534.0,41
1606/3,43
536.0,44
1612/3,46
1616/3,48
540.0,50
1622/3,43
1624/3,44
542.0,53
1628/3,54
544.0,56
1634/3,57
546.0,43
1640/3,44
548.0,62
1646/3,63
550.0,65
1654/3,43
552.0,44
1658/3,69
554.0,71
1666/3,73
1670/3,43
1672/3,44
558.0,77
1676/3,78
560.0,40
1682/3,41
562.0,43
1688/3,44
564.0,46
1696/3,48
1700/3,50
1702/3,43
568.0,44
1706/3,53
1708/3,54
1712/3,56
1714/3,57
1718/3,43
1720/3,44
1724/3,62
1726/3,63
1730/3,65
578.0,43
1736/3,44
1738/3,69
1742/3,71
582.0,73
1750/3,43
584.0,44
1754/3,77
1756/3,78
1760/3,40
1762/3,41
1766/3,43
1768/3,44
1772/3,46
592.0,48
1780/3,50
594.0,43
1784/3,44
1786/3,53
596.0,54
1792/3,56
598.0,57
1798/3,43
600.0,44
1804/3,62
602.0,63
1810/3,65
1814/3,43
1816/3,44
606.0,69
1822/3,71
1826/3,73
610.0,43
1832/3,44
1834/3,77
612.0,78
1840/3,40
614.0,41
1846/3,43
616.0,44
1852/3,46
1856/3,48
620.0,50
1862/3,43
1864/3,44
622.0,53
1868/3,54
624.0,56
1874/3,57
626.0,43
1880/3,44
628.0,62
1886/3,63
630.0,65
1894/3,43
632.0,44
1898/3,69
634.0,71
1906/3,73
1910/3,43
1912/3,44
638.0,77
1916/3,78
640.0,40
1922/3,41
642.0,43
1928/3,44
644.0,46
1936/3,48
1940/3,50
1942/3,43
648.0,44
1946/3,53
1948/3,54
1952/3,56
1954/3,57
1958/3,43
1960/3,44
1964/3,62
1966/3,63
1970/3,65
658.0,43
1976/3,44
1978/3,69
1982/3,71
662.0,73
1990/3,43
664.0,44
1994/3,77
1996/3,78
2000/3,40
2002/3,41
2006/3,43
2008/3,44
2012/3,46
672.0,48
2020/3,50
674.0,43
2024/3,44
2026/3,53
676.0,54
2032/3,56
678.0,57
2038/3,43
680.0,44
2044/3,62
682.0,63
2050/3,65
2054/3,43
2056/3,44
686.0,69
2062/3,71
2066/3,73
690.0,43
2072/3,44
2074/3,77
692.0,78
2080/3,40
694.0,41
2086/3,43
696.0,44
2092/3,46
2096/3,48
700.0,50
2102/3,43
2104/3,44
702.0,53
2108/3,54
704.0,56
2114/3,57
706.0,43
2120/3,44
708.0,62
2126/3,63
710.0,65
2134/3,43
712.0,44
2138/3,69
714.0,71
2146/3,73
2150/3,43
2152/3,44
718.0,77
2156/3,78
720.0,40
2162/3,41
722.0,43
2168/3,44
724.0,46
2176/3,48
2180/3,50
2182/3,43
728.0,44
2186/3,53
2188/3,54
2192/3,56
2194/3,57
2198/3,43
2200/3,44
2204/3,62
2206/3,63
2210/3,65
738.0,43
2216/3,44
2218/3,69
2222/3,71
742.0,73
2230/3,43
744.0,44
2234/3,77
2236/3,78
2240/3,40
2242/3,41
2246/3,43
2248/3,44
2252/3,46
752.0,48
2260/3,50
754.0,43
2264/3,44
2266/3,53
756.0,54
2272/3,56
758.0,57
2278/3,43
760.0,44
2284/3,62
762.0,63
2290/3,65
2294/3,43
2296/3,44
766.0,69
2302/3,71
2306/3,73
770.0,43
2312/3,44
2314/3,77
772.0,78
2320/3,40
774.0,41
2326/3,43
776.0,44
2332/3,46
2336/3,48
780.0,50
2342/3,43
2344/3,44
782.0,53
2348/3,54
784.0,56
2354/3,57
786.0,43
2360/3,44
788.0,62
2366/3,63
790.0,65
2374/3,43
792.0,44
2378/3,69
794.0,71
2386/3,73
2390/3,43
2392/3,44
798.0,77
2396/3,78
