MIDI,Offset
"(45,)","[0.0, 1.333333, 2.666667, 4.0, 5.333333, 6.666667, 8.0, 17.333333, 20.0, 22.666667, 30.666667, 34.666667, 38.666667, 40.0, 45.333333, 54.666667, 57.333333, 61.333333, 70.666667, 76.0, 77.333333, 84.0, 92.0, 108.0, 109.333333, 110.666667, 112.0, 113.333333, 114.666667, 124.0, 129.333333, 137.333333, 141.333333, 145.333333, 152.0, 161.333333, 164.0, 168.0, 177.333333, 182.666667, 184.0, 190.666667, 198.666667, 214.666667, 216.0, 217.333333, 218.666667, 221.333333, 230.666667, 236.0, 244.0, 248.0, 252.0, 258.666667, 268.0, 270.666667, 273.333333, 274.666667, 284.0, 286.666667, 289.333333, 290.666667, 297.333333, 305.333333, 321.333333, 322.666667, 324.0, 325.333333, 328.0, 337.333333, 342.666667, 350.666667, 354.666667, 358.666667, 365.333333, 374.666667, 377.333333, 380.0, 381.333333, 390.666667, 396.0, 397.333333, 404.0, 412.0, 428.0, 429.333333, 430.666667, 432.0, 434.666667, 444.0, 449.333333, 457.333333, 461.333333, 465.333333, 472.0, 481.333333, 484.0, 488.0, 497.333333, 502.666667, 504.0, 510.666667, 518.666667, 534.666667, 536.0, 537.333333, 538.666667, 540.0, 541.333333, 550.666667, 553.333333, 556.0, 564.0, 568.0, 572.0, 573.333333, 578.666667, 588.0, 590.666667, 594.666667, 604.0, 609.333333, 610.666667, 617.333333, 625.333333, 641.333333, 642.666667, 644.0, 645.333333, 646.666667, 648.0, 657.333333, 662.666667, 670.666667, 674.666667, 678.666667, 685.333333, 694.666667, 697.333333, 701.333333, 710.666667, 716.0, 717.333333, 724.0, 732.0, 748.0, 749.333333, 750.666667, 752.0, 754.666667, 764.0, 769.333333, 777.333333, 781.333333, 785.333333, 792.0, 801.333333, 804.0, 806.666667, 808.0, 817.333333, 820.0, 822.666667, 824.0, 830.666667, 838.666667, 854.666667, 856.0, 857.333333, 858.666667, 861.333333, 870.666667, 876.0, 884.0, 888.0, 892.0, 898.666667, 908.0, 910.666667, 913.333333, 914.666667, 924.0, 929.333333, 930.666667, 937.333333, 945.333333, 961.333333, 962.666667, 964.0, 965.333333, 968.0, 977.333333, 982.666667, 990.666667, 994.666667, 998.666667, 1005.333333, 1014.666667, 1017.333333, 1021.333333, 1030.666667, 1036.0, 1037.333333, 1044.0, 1052.0, 1068.0, 1069.333333, 1070.666667, 1072.0, 1073.333333, 1074.666667, 1084.0, 1086.666667, 1089.333333, 1097.333333, 1101.333333, 1105.333333, 1106.666667, 1112.0, 1121.333333, 1124.0, 1128.0, 1137.333333, 1142.666667, 1144.0, 1150.666667, 1158.666667, 1174.666667, 1176.0, 1177.333333, 1178.666667, 1180.0, 1181.333333, 1190.666667, 1196.0, 1204.0, 1208.0, 1212.0, 1218.666667, 1228.0, 1230.666667, 1234.666667, 1244.0, 1249.333333, 1250.666667, 1257.333333, 1265.333333, 1281.333333, 1282.666667, 1284.0, 1285.333333, 1288.0, 1297.333333, 1302.666667, 1310.666667, 1314.666667, 1318.666667, 1325.333333, 1334.666667, 1337.333333, 1340.0, 1341.333333, 1350.666667, 1353.333333, 1356.0, 1357.333333, 1364.0, 1372.0, 1388.0, 1389.333333, 1390.666667, 1392.0, 1394.666667, 1404.0, 1409.333333, 1417.333333, 1421.333333, 1425.333333, 1432.0, 1441.333333, 1444.0, 1446.666667, 1448.0, 1457.333333, 1462.666667, 1464.0, 1470.666667, 1478.666667, 1494.666667, 1496.0, 1497.333333, 1498.666667, 1501.333333, 1510.666667, 1516.0, 1524.0, 1528.0, 1532.0, 1538.666667, 1548.0, 1550.666667, 1554.666667, 1564.0, 1569.333333, 1570.666667, 1577.333333, 1585.333333, 1601.333333, 1602.666667, 1604.0, 1605.333333, 1606.666667, 1608.0, 1617.333333, 1620.0, 1622.666667, 1630.666667, 1634.666667, 1638.666667, 1640.0, 1645.333333, 1654.666667, 1657.333333, 1661.333333, 1670.666667, 1676.0, 1677.333333, 1684.0, 1692.0, 1708.0, 1709.333333, 1710.666667, 1712.0, 1713.333333, 1714.666667, 1724.0, 1729.333333, 1737.333333, 1741.333333, 1745.333333, 1752.0, 1761.333333, 1764.0, 1768.0, 1777.333333, 1782.666667, 1784.0, 1790.666667, 1798.666667, 1814.666667, 1816.0, 1817.333333, 1818.666667, 1821.333333, 1830.666667, 1836.0, 1844.0, 1848.0, 1852.0, 1858.666667, 1868.0, 1870.666667, 1873.333333, 1874.666667, 1884.0, 1886.666667, 1889.333333, 1890.666667, 1897.333333, 1905.333333, 1921.333333, 1922.666667, 1924.0, 1925.333333, 1928.0, 1937.333333, 1942.666667, 1950.666667, 1954.666667, 1958.666667, 1965.333333, 1974.666667, 1977.333333, 1980.0, 1981.333333, 1990.666667, 1996.0, 1997.333333, 2004.0, 2012.0, 2028.0, 2029.333333, 2030.666667, 2032.0, 2034.666667, 2044.0, 2049.333333, 2057.333333, 2061.333333, 2065.333333, 2072.0, 2081.333333, 2084.0, 2088.0, 2097.333333, 2102.666667, 2104.0, 2110.666667, 2118.666667]"
"(45, 46)","[10.666667, 13.333333, 16.0, 32.0, 64.0, 69.333333, 122.666667, 138.666667, 224.0, 226.666667, 229.333333, 245.333333, 282.666667, 336.0, 437.333333, 442.666667, 458.666667, 490.666667, 496.0, 546.666667, 549.333333, 565.333333, 650.666667, 656.0, 672.0, 709.333333, 760.0, 762.666667, 864.0, 869.333333, 885.333333, 917.333333, 922.666667, 976.0, 992.0, 1077.333333, 1080.0, 1082.666667, 1098.666667, 1136.0, 1189.333333, 1290.666667, 1293.333333, 1296.0, 1312.0, 1344.0, 1349.333333, 1402.666667, 1418.666667, 1504.0, 1509.333333, 1525.333333, 1562.666667, 1613.333333, 1616.0, 1717.333333, 1722.666667, 1738.666667, 1770.666667, 1776.0, 1826.666667, 1829.333333, 1845.333333, 1930.666667, 1936.0, 1952.0, 1989.333333, 2042.666667]"
"(46,)","[14.666667, 18.666667, 41.333333, 49.333333, 68.0, 73.333333, 94.666667, 98.666667, 102.666667, 120.0, 121.333333, 125.333333, 148.0, 156.0, 174.666667, 201.333333, 205.333333, 209.333333, 228.0, 232.0, 254.666667, 262.666667, 277.333333, 281.333333, 308.0, 312.0, 316.0, 334.666667, 338.666667, 340.0, 361.333333, 369.333333, 388.0, 414.666667, 418.666667, 422.666667, 441.333333, 445.333333, 468.0, 476.0, 494.666667, 521.333333, 525.333333, 529.333333, 548.0, 552.0, 574.666667, 582.666667, 601.333333, 606.666667, 628.0, 632.0, 636.0, 653.333333, 654.666667, 658.666667, 681.333333, 689.333333, 704.0, 708.0, 734.666667, 738.666667, 742.666667, 761.333333, 765.333333, 788.0, 796.0, 814.666667, 841.333333, 845.333333, 849.333333, 868.0, 872.0, 873.333333, 894.666667, 902.666667, 921.333333, 948.0, 952.0, 956.0, 974.666667, 978.666667, 1001.333333, 1009.333333, 1028.0, 1054.666667, 1058.666667, 1062.666667, 1081.333333, 1085.333333, 1108.0, 1116.0, 1130.666667, 1134.666667, 1140.0, 1161.333333, 1165.333333, 1169.333333, 1186.666667, 1188.0, 1192.0, 1214.666667, 1222.666667, 1241.333333, 1268.0, 1272.0, 1276.0, 1294.666667, 1298.666667, 1321.333333, 1329.333333, 1348.0, 1374.666667, 1378.666667, 1382.666667, 1401.333333, 1405.333333, 1406.666667, 1428.0, 1436.0, 1454.666667, 1481.333333, 1485.333333, 1489.333333, 1508.0, 1512.0, 1534.666667, 1542.666667, 1557.333333, 1561.333333, 1588.0, 1592.0, 1596.0, 1614.666667, 1618.666667, 1641.333333, 1649.333333, 1668.0, 1673.333333, 1694.666667, 1698.666667, 1702.666667, 1720.0, 1721.333333, 1725.333333, 1748.0, 1756.0, 1774.666667, 1801.333333, 1805.333333, 1809.333333, 1828.0, 1832.0, 1854.666667, 1862.666667, 1881.333333, 1908.0, 1912.0, 1916.0, 1934.666667, 1938.666667, 1940.0, 1961.333333, 1969.333333, 1984.0, 1988.0, 2014.666667, 2018.666667, 2022.666667, 2041.333333, 2045.333333, 2068.0, 2076.0, 2094.666667, 2121.333333, 2125.333333, 2129.333333]"
"(45, 46, 47)","[21.333333, 26.666667, 42.666667, 53.333333, 58.666667, 80.0, 106.666667, 117.333333, 160.0, 165.333333, 173.333333, 213.333333, 234.666667, 266.666667, 272.0, 293.333333, 320.0, 330.666667, 346.666667, 378.666667, 386.666667, 426.666667, 448.0, 469.333333, 485.333333, 533.333333, 544.0, 560.0, 586.666667, 592.0, 640.0, 661.333333, 693.333333, 698.666667, 706.666667, 757.333333, 805.333333, 853.333333, 874.666667, 896.0, 912.0, 920.0, 970.666667, 1018.666667, 1088.0, 1093.333333, 1120.0, 1125.333333, 1146.666667, 1173.333333, 1184.0, 1232.0, 1240.0, 1280.0, 1301.333333, 1322.666667, 1333.333333, 1338.666667, 1360.0, 1386.666667, 1397.333333, 1413.333333, 1445.333333, 1453.333333, 1514.666667, 1552.0, 1610.666667, 1626.666667, 1658.666667, 1706.666667, 1728.0, 1749.333333, 1760.0, 1765.333333, 1773.333333, 1824.0, 1872.0, 1941.333333, 1978.666667, 1986.666667, 2037.333333, 2085.333333]"
"(47,)","[25.333333, 33.333333, 44.0, 50.666667, 78.666667, 88.0, 97.333333, 104.0, 126.666667, 132.0, 140.0, 150.666667, 157.333333, 166.666667, 185.333333, 194.666667, 204.0, 210.666667, 220.0, 238.666667, 253.333333, 257.333333, 264.0, 292.0, 300.0, 301.333333, 310.666667, 317.333333, 345.333333, 364.0, 370.666667, 393.333333, 398.666667, 406.666667, 408.0, 417.333333, 424.0, 433.333333, 452.0, 470.666667, 477.333333, 486.666667, 505.333333, 514.666667, 524.0, 530.666667, 558.666667, 566.666667, 577.333333, 584.0, 612.0, 621.333333, 630.666667, 637.333333, 660.0, 665.333333, 673.333333, 684.0, 690.666667, 700.0, 718.666667, 728.0, 737.333333, 744.0, 753.333333, 772.0, 786.666667, 790.666667, 797.333333, 825.333333, 833.333333, 834.666667, 844.0, 850.666667, 878.666667, 897.333333, 904.0, 926.666667, 932.0, 940.0, 941.333333, 950.666667, 957.333333, 966.666667, 985.333333, 1004.0, 1010.666667, 1020.0, 1038.666667, 1048.0, 1057.333333, 1064.0, 1092.0, 1100.0, 1110.666667, 1117.333333, 1145.333333, 1154.666667, 1164.0, 1170.666667, 1193.333333, 1198.666667, 1206.666667, 1217.333333, 1224.0, 1233.333333, 1252.0, 1261.333333, 1270.666667, 1277.333333, 1286.666667, 1305.333333, 1320.0, 1324.0, 1330.666667, 1358.666667, 1366.666667, 1368.0, 1377.333333, 1384.0, 1412.0, 1430.666667, 1437.333333, 1460.0, 1465.333333, 1473.333333, 1474.666667, 1484.0, 1490.666667, 1500.0, 1518.666667, 1537.333333, 1544.0, 1553.333333, 1572.0, 1581.333333, 1590.666667, 1597.333333, 1625.333333, 1633.333333, 1644.0, 1650.666667, 1678.666667, 1688.0, 1697.333333, 1704.0, 1726.666667, 1732.0, 1740.0, 1750.666667, 1757.333333, 1766.666667, 1785.333333, 1794.666667, 1804.0, 1810.666667, 1820.0, 1838.666667, 1853.333333, 1857.333333, 1864.0, 1892.0, 1900.0, 1901.333333, 1910.666667, 1917.333333, 1945.333333, 1964.0, 1970.666667, 1993.333333, 1998.666667, 2006.666667, 2008.0, 2017.333333, 2024.0, 2033.333333, 2052.0, 2070.666667, 2077.333333, 2086.666667, 2105.333333, 2114.666667, 2124.0, 2130.666667]"
"(46, 47)","[29.333333, 66.666667, 82.666667, 85.333333, 128.0, 133.333333, 136.0, 146.666667, 170.666667, 176.0, 189.333333, 242.666667, 246.666667, 256.0, 280.0, 296.0, 333.333333, 341.333333, 349.333333, 352.0, 389.333333, 402.666667, 440.0, 456.0, 493.333333, 509.333333, 512.0, 513.333333, 554.666667, 562.666667, 597.333333, 600.0, 602.666667, 616.0, 666.666667, 669.333333, 680.0, 682.666667, 722.666667, 768.0, 776.0, 778.666667, 780.0, 813.333333, 816.0, 829.333333, 866.666667, 880.0, 882.666667, 936.0, 938.666667, 973.333333, 981.333333, 989.333333, 1024.0, 1026.666667, 1029.333333, 1042.666667, 1046.666667, 1096.0, 1109.333333, 1133.333333, 1149.333333, 1194.666667, 1200.0, 1202.666667, 1205.333333, 1213.333333, 1242.666667, 1256.0, 1309.333333, 1313.333333, 1346.666667, 1362.666667, 1365.333333, 1400.0, 1408.0, 1416.0, 1450.666667, 1456.0, 1469.333333, 1506.666667, 1522.666667, 1536.0, 1560.0, 1576.0, 1580.0, 1621.333333, 1629.333333, 1632.0, 1666.666667, 1669.333333, 1682.666667, 1733.333333, 1736.0, 1746.666667, 1789.333333, 1792.0, 1834.666667, 1842.666667, 1846.666667, 1877.333333, 1880.0, 1882.666667, 1896.0, 1933.333333, 1946.666667, 1949.333333, 1962.666667, 2002.666667, 2040.0, 2048.0, 2056.0, 2058.666667, 2093.333333, 2096.0, 2109.333333, 2113.333333]"
"(48,)","[36.0, 89.333333, 142.666667, 180.0, 196.0, 249.333333, 302.666667, 356.0, 409.333333, 446.666667, 462.666667, 516.0, 569.333333, 622.666667, 676.0, 713.333333, 729.333333, 782.666667, 836.0, 889.333333, 942.666667, 980.0, 996.0, 1049.333333, 1102.666667, 1156.0, 1209.333333, 1246.666667, 1262.666667, 1316.0, 1369.333333, 1422.666667, 1476.0, 1513.333333, 1529.333333, 1582.666667, 1636.0, 1689.333333, 1742.666667, 1780.0, 1796.0, 1849.333333, 1902.666667, 1956.0, 2009.333333, 2046.666667, 2062.666667, 2116.0]"
"(46, 48)","[37.333333, 72.0, 144.0, 178.666667, 197.333333, 250.666667, 285.333333, 357.333333, 360.0, 392.0, 410.666667, 464.0, 498.666667, 570.666667, 605.333333, 624.0, 677.333333, 712.0, 784.0, 818.666667, 837.333333, 890.666667, 893.333333, 925.333333, 997.333333, 1032.0, 1050.666667, 1104.0, 1138.666667, 1210.666667, 1245.333333, 1264.0, 1317.333333, 1352.0, 1424.0, 1426.666667, 1458.666667, 1477.333333, 1530.666667, 1565.333333, 1637.333333, 1672.0, 1690.666667, 1744.0, 1778.666667, 1850.666667, 1885.333333, 1904.0, 1957.333333, 1960.0, 1992.0, 2064.0, 2098.666667, 2117.333333]"
"(49,)","[46.666667, 48.0, 96.0, 100.0, 192.0, 200.0, 233.333333, 260.0, 261.333333, 313.333333, 366.666667, 466.666667, 474.666667, 500.0, 522.666667, 526.666667, 580.0, 618.666667, 633.333333, 688.0, 733.333333, 766.666667, 793.333333, 846.666667, 900.0, 901.333333, 949.333333, 1000.0, 1033.333333, 1045.333333, 1060.0, 1113.333333, 1114.666667, 1166.666667, 1266.666667, 1300.0, 1326.666667, 1328.0, 1376.0, 1380.0, 1433.333333, 1472.0, 1533.333333, 1541.333333, 1566.666667, 1593.333333, 1646.666667, 1700.0, 1754.666667, 1800.0, 1802.666667, 1833.333333, 1860.0, 1898.666667, 1913.333333, 1966.666667, 1968.0, 2066.666667, 2100.0, 2126.666667]"
"(46, 47, 48)","[74.666667, 149.333333, 288.0, 394.666667, 501.333333, 576.0, 714.666667, 720.0, 821.333333, 928.0, 986.666667, 1002.666667, 1141.333333, 1248.0, 1354.666667, 1429.333333, 1568.0, 1674.666667, 1781.333333, 1786.666667, 1856.0, 1994.666667, 2053.333333, 2101.333333]"
