Offset,MIDI
0.0,60
0.333333,60
0.666667,60
1.0,60
1.333333,60
1.666667,60
2.0,60
2.666667,61
2.666667,60
3.333333,60
3.333333,61
3.666667,61
4.0,60
4.0,61
4.333333,60
4.666667,61
5.0,60
5.333333,60
5.333333,62
5.333333,61
5.666667,60
6.333333,62
6.666667,60
6.666667,61
6.666667,62
7.333333,62
7.333333,61
7.666667,60
8.0,61
8.0,60
8.333333,62
8.666667,60
9.0,63
9.333333,61
9.333333,63
9.666667,60
10.0,60
10.333333,61
10.666667,61
10.666667,62
10.666667,60
11.0,62
11.333333,60
11.666667,64
12.0,64
12.333333,61
12.666667,62
13.333333,60
13.333333,62
13.333333,61
13.666667,60
14.333333,60
14.666667,60
14.666667,62
14.666667,61
15.333333,60
16.0,61
16.0,60
16.666667,62
16.666667,61
17.0,61
17.333333,61
17.333333,60
17.666667,60
18.0,63
18.0,61
18.333333,61
18.666667,62
18.666667,61
18.666667,63
19.0,60
19.333333,60
19.666667,62
20.0,60
20.0,61
20.0,62
20.666667,61
20.666667,62
21.0,60
21.333333,61
21.333333,62
21.666667,62
21.666667,60
22.0,62
22.333333,63
22.666667,63
22.666667,60
23.0,60
23.333333,61
23.333333,64
23.666667,61
24.0,64
24.333333,62
24.666667,61
25.0,64
25.333333,64
25.333333,62
25.666667,61
26.0,62
26.666667,60
26.666667,61
26.666667,62
27.0,60
27.333333,60
27.666667,60
28.0,60
28.333333,60
28.666667,60
29.333333,61
29.333333,62
29.333333,60
30.0,61
30.333333,61
30.666667,60
30.666667,61
31.0,60
31.333333,61
31.666667,62
32.0,61
32.0,62
32.333333,60
33.0,62
33.333333,62
33.333333,61
34.0,62
34.0,61
34.333333,60
34.666667,60
34.666667,61
35.0,62
35.333333,60
35.666667,63
36.0,63
36.0,61
36.333333,60
36.666667,61
36.666667,62
37.0,61
37.333333,63
37.333333,61
37.333333,62
37.666667,62
38.0,60
38.333333,60
38.333333,64
38.666667,60
38.666667,64
39.0,61
39.333333,62
40.0,60
40.0,62
40.0,61
40.333333,60
41.0,60
41.333333,62
41.333333,60
41.333333,61
41.666667,62
42.0,60
42.666667,61
42.666667,62
43.333333,61
43.333333,62
43.333333,60
43.666667,61
44.0,62
44.0,61
44.333333,60
44.666667,61
44.666667,63
45.0,63
45.333333,63
45.333333,62
45.333333,60
45.666667,60
46.0,60
46.333333,62
46.666667,61
46.666667,62
46.666667,64
46.666667,63
47.333333,62
47.333333,61
47.666667,60
48.0,64
48.333333,60
48.333333,62
48.666667,62
49.0,63
49.333333,61
49.333333,63
49.666667,60
50.0,64
50.333333,61
50.666667,62
50.666667,64
51.0,62
51.333333,61
51.666667,64
51.666667,61
52.0,62
52.0,64
52.333333,61
52.666667,62
53.333333,62
53.333333,61
53.333333,60
53.666667,60
54.0,60
54.333333,60
54.666667,60
55.0,62
55.333333,60
56.0,61
56.0,60
56.666667,60
56.666667,61
57.0,61
57.333333,60
57.333333,61
57.666667,60
58.0,61
58.333333,64
58.666667,61
58.666667,62
58.666667,60
59.0,60
59.666667,62
60.0,62
60.0,64
60.0,61
60.666667,62
60.666667,61
61.0,60
61.333333,60
61.333333,61
61.666667,61
61.666667,62
62.0,60
62.333333,63
62.666667,63
62.666667,61
63.0,60
63.333333,62
63.666667,61
64.0,62
64.0,61
64.333333,62
64.666667,60
65.0,64
65.333333,64
65.666667,61
66.0,62
66.666667,60
66.666667,61
66.666667,62
67.0,60
67.666667,60
68.0,60
68.0,61
68.0,62
68.333333,60
68.666667,60
69.333333,61
70.0,62
70.0,61
70.333333,61
70.666667,60
70.666667,61
71.0,60
71.333333,63
71.333333,61
71.666667,60
72.0,61
72.0,63
72.0,62
72.333333,60
72.666667,60
73.0,62
73.333333,61
73.333333,62
73.333333,60
74.0,62
74.0,61
74.333333,60
74.666667,63
74.666667,62
75.0,62
75.333333,62
75.666667,63
76.0,60
76.0,63
76.333333,60
76.666667,60
76.666667,64
77.0,61
77.333333,64
77.333333,60
77.666667,62
78.0,61
78.333333,64
78.666667,64
78.666667,62
79.0,61
79.333333,62
80.0,60
80.0,62
80.0,61
80.333333,60
80.666667,60
81.0,60
81.333333,60
82.0,60
82.666667,61
82.666667,62
82.666667,60
83.333333,62
83.333333,61
83.666667,61
84.0,60
84.0,61
84.333333,60
84.666667,61
85.0,61
85.333333,61
85.333333,62
85.666667,60
86.333333,62
86.666667,62
86.666667,61
86.666667,60
87.333333,62
87.333333,61
87.666667,60
88.0,62
88.0,61
88.333333,62
88.333333,60
88.666667,60
89.0,63
89.333333,61
89.333333,63
89.666667,60
90.0,63
90.0,61
90.333333,61
90.666667,63
90.666667,62
91.0,62
91.333333,60
91.666667,64
92.0,60
92.0,64
92.333333,61
92.666667,62
93.333333,63
93.333333,64
93.333333,62
93.333333,61
93.333333,60
93.666667,60
94.333333,60
94.666667,60
94.666667,62
94.666667,61
95.0,60
95.333333,60
96.0,64
96.0,61
96.666667,60
96.666667,61
96.666667,62
97.0,61
97.333333,62
97.333333,61
97.666667,60
98.0,61
98.0,63
98.333333,62
98.666667,61
98.666667,63
98.666667,62
99.0,60
99.333333,60
99.666667,62
100.0,62
100.0,64
100.666667,62
100.666667,61
101.0,60
101.333333,62
101.333333,64
101.666667,62
102.0,62
102.333333,63
102.666667,61
102.666667,63
103.0,60
103.333333,64
103.333333,62
103.333333,61
103.666667,61
104.0,62
104.0,64
104.333333,62
104.666667,61
105.0,64
105.0,60
105.333333,62
105.333333,64
105.666667,61
