Offset,MIDI
0.0,[45]
1.333333,[45]
2.666667,[45]
4.0,[45]
5.333333,[45]
6.666667,[45]
8.0,[45]
10.666667,"[45, 46]"
13.333333,"[45, 46]"
14.666667,[46]
16.0,"[45, 46]"
17.333333,[45]
18.666667,[46]
20.0,[45]
21.333333,"[45, 46, 47]"
22.666667,[45]
25.333333,[47]
26.666667,"[45, 46, 47]"
29.333333,"[46, 47]"
30.666667,[45]
32.0,"[45, 46]"
33.333333,[47]
34.666667,[45]
36.0,[48]
37.333333,"[46, 48]"
38.666667,[45]
40.0,[45]
41.333333,[46]
42.666667,"[45, 46, 47]"
44.0,[47]
45.333333,[45]
46.666667,[49]
48.0,[49]
49.333333,[46]
50.666667,[47]
53.333333,"[45, 46, 47]"
54.666667,[45]
57.333333,[45]
58.666667,"[45, 46, 47]"
61.333333,[45]
64.0,"[45, 46]"
66.666667,"[46, 47]"
68.0,[46]
69.333333,"[45, 46]"
70.666667,[45]
72.0,"[46, 48]"
73.333333,[46]
74.666667,"[46, 47, 48]"
76.0,[45]
77.333333,[45]
78.666667,[47]
80.0,"[45, 46, 47]"
82.666667,"[46, 47]"
84.0,[45]
85.333333,"[46, 47]"
86.666667,"[45, 47]"
88.0,[47]
89.333333,[48]
90.666667,"[45, 48]"
92.0,[45]
93.333333,"[46, 49]"
94.666667,[46]
96.0,[49]
97.333333,[47]
98.666667,[46]
100.0,[49]
101.333333,"[47, 49]"
102.666667,[46]
104.0,[47]
106.666667,"[45, 46, 47]"
108.0,[45]
109.333333,[45]
110.666667,[45]
112.0,[45]
113.333333,[45]
114.666667,[45]
117.333333,"[45, 46, 47]"
120.0,[46]
121.333333,[46]
122.666667,"[45, 46]"
124.0,[45]
125.333333,[46]
126.666667,[47]
128.0,"[46, 47]"
129.333333,[45]
132.0,[47]
133.333333,"[46, 47]"
136.0,"[46, 47]"
137.333333,[45]
138.666667,"[45, 46]"
140.0,[47]
141.333333,[45]
142.666667,[48]
144.0,"[46, 48]"
145.333333,[45]
146.666667,"[46, 47]"
148.0,[46]
149.333333,"[46, 47, 48]"
150.666667,[47]
152.0,[45]
153.333333,"[45, 49]"
154.666667,"[45, 49]"
156.0,[46]
157.333333,[47]
160.0,"[45, 46, 47]"
161.333333,[45]
164.0,[45]
165.333333,"[45, 46, 47]"
166.666667,[47]
168.0,[45]
170.666667,"[46, 47]"
173.333333,"[45, 46, 47]"
174.666667,[46]
176.0,"[46, 47]"
177.333333,[45]
178.666667,"[46, 48]"
180.0,[48]
181.333333,"[45, 47, 48]"
182.666667,[45]
184.0,[45]
185.333333,[47]
186.666667,"[46, 47, 48, 49]"
189.333333,"[46, 47]"
190.666667,[45]
192.0,[49]
193.333333,"[45, 47]"
194.666667,[47]
196.0,[48]
197.333333,"[46, 48]"
198.666667,[45]
200.0,[49]
201.333333,[46]
202.666667,"[47, 49]"
204.0,[47]
205.333333,[46]
206.666667,"[46, 49]"
208.0,"[47, 49]"
209.333333,[46]
210.666667,[47]
213.333333,"[45, 46, 47]"
214.666667,[45]
216.0,[45]
217.333333,[45]
218.666667,[45]
220.0,[47]
221.333333,[45]
224.0,"[45, 46]"
226.666667,"[45, 46]"
228.0,[46]
229.333333,"[45, 46]"
230.666667,[45]
232.0,[46]
233.333333,[49]
234.666667,"[45, 46, 47]"
236.0,[45]
238.666667,[47]
240.0,"[46, 47, 49]"
242.666667,"[46, 47]"
244.0,[45]
245.333333,"[45, 46]"
246.666667,"[46, 47]"
248.0,[45]
249.333333,[48]
250.666667,"[46, 48]"
252.0,[45]
253.333333,[47]
254.666667,[46]
256.0,"[46, 47]"
257.333333,[47]
258.666667,[45]
260.0,[49]
261.333333,[49]
262.666667,[46]
264.0,[47]
266.666667,"[45, 46, 47]"
268.0,[45]
270.666667,[45]
272.0,"[45, 46, 47]"
273.333333,[45]
274.666667,[45]
277.333333,[46]
280.0,"[46, 47]"
281.333333,[46]
282.666667,"[45, 46]"
284.0,[45]
285.333333,"[46, 48]"
286.666667,[45]
288.0,"[46, 47, 48]"
289.333333,[45]
290.666667,[45]
292.0,[47]
293.333333,"[45, 46, 47]"
296.0,"[46, 47]"
297.333333,[45]
298.666667,"[47, 48]"
300.0,[47]
301.333333,[47]
302.666667,[48]
304.0,"[45, 48]"
305.333333,[45]
306.666667,"[45, 49]"
308.0,[46]
309.333333,"[45, 49]"
310.666667,[47]
312.0,[46]
313.333333,[49]
314.666667,"[47, 49]"
316.0,[46]
317.333333,[47]
320.0,"[45, 46, 47]"
321.333333,[45]
322.666667,[45]
324.0,[45]
325.333333,[45]
328.0,[45]
330.666667,"[45, 46, 47]"
333.333333,"[46, 47]"
334.666667,[46]
336.0,"[45, 46]"
337.333333,[45]
338.666667,[46]
340.0,[46]
341.333333,"[46, 47]"
342.666667,[45]
345.333333,[47]
346.666667,"[45, 46, 47]"
349.333333,"[46, 47]"
350.666667,[45]
352.0,"[46, 47]"
353.333333,"[45, 47]"
354.666667,[45]
356.0,[48]
357.333333,"[46, 48]"
358.666667,[45]
360.0,"[46, 48]"
361.333333,[46]
362.666667,"[47, 48]"
364.0,[47]
365.333333,[45]
366.666667,[49]
368.0,"[45, 49]"
369.333333,[46]
370.666667,[47]
373.333333,"[45, 46, 47, 48, 49]"
374.666667,[45]
377.333333,[45]
378.666667,"[45, 46, 47]"
380.0,[45]
381.333333,[45]
384.0,"[46, 49]"
386.666667,"[45, 46, 47]"
388.0,[46]
389.333333,"[46, 47]"
390.666667,[45]
392.0,"[46, 48]"
393.333333,[47]
394.666667,"[46, 47, 48]"
396.0,[45]
397.333333,[45]
398.666667,[47]
400.0,"[47, 49]"
402.666667,"[46, 47]"
404.0,[45]
405.333333,"[47, 49]"
406.666667,[47]
408.0,[47]
409.333333,[48]
410.666667,"[46, 48]"
412.0,[45]
413.333333,"[46, 47, 49]"
414.666667,[46]
416.0,"[47, 49]"
417.333333,[47]
418.666667,[46]
420.0,"[45, 49]"
421.333333,"[47, 49]"
422.666667,[46]
424.0,[47]
426.666667,"[45, 46, 47]"
428.0,[45]
429.333333,[45]
430.666667,[45]
432.0,[45]
433.333333,[47]
434.666667,[45]
437.333333,"[45, 46]"
440.0,"[46, 47]"
441.333333,[46]
442.666667,"[45, 46]"
444.0,[45]
445.333333,[46]
446.666667,[48]
448.0,"[45, 46, 47]"
449.333333,[45]
452.0,[47]
453.333333,"[45, 46, 47, 48]"
456.0,"[46, 47]"
457.333333,[45]
458.666667,"[45, 46]"
460.0,"[45, 47]"
461.333333,[45]
462.666667,[48]
464.0,"[46, 48]"
465.333333,[45]
466.666667,[49]
468.0,[46]
469.333333,"[45, 46, 47]"
470.666667,[47]
472.0,[45]
473.333333,"[46, 49]"
474.666667,[49]
476.0,[46]
477.333333,[47]
480.0,"[45, 46, 47, 49]"
481.333333,[45]
484.0,[45]
485.333333,"[45, 46, 47]"
486.666667,[47]
488.0,[45]
490.666667,"[45, 46]"
493.333333,"[46, 47]"
494.666667,[46]
496.0,"[45, 46]"
497.333333,[45]
498.666667,"[46, 48]"
500.0,[49]
501.333333,"[46, 47, 48]"
502.666667,[45]
504.0,[45]
505.333333,[47]
506.666667,"[47, 49]"
509.333333,"[46, 47]"
510.666667,[45]
512.0,"[46, 47]"
513.333333,"[46, 47]"
514.666667,[47]
516.0,[48]
517.333333,"[45, 48]"
518.666667,[45]
520.0,"[47, 49]"
521.333333,[46]
522.666667,[49]
524.0,[47]
525.333333,[46]
526.666667,[49]
528.0,"[47, 49]"
529.333333,[46]
530.666667,[47]
533.333333,"[45, 46, 47]"
534.666667,[45]
536.0,[45]
537.333333,[45]
538.666667,[45]
540.0,[45]
541.333333,[45]
544.0,"[45, 46, 47]"
546.666667,"[45, 46]"
548.0,[46]
549.333333,"[45, 46]"
550.666667,[45]
552.0,[46]
553.333333,[45]
554.666667,"[46, 47]"
556.0,[45]
558.666667,[47]
560.0,"[45, 46, 47]"
562.666667,"[46, 47]"
564.0,[45]
565.333333,"[45, 46]"
566.666667,[47]
568.0,[45]
569.333333,[48]
570.666667,"[46, 48]"
572.0,[45]
573.333333,[45]
574.666667,[46]
576.0,"[46, 47, 48]"
577.333333,[47]
578.666667,[45]
580.0,[49]
581.333333,"[45, 49]"
582.666667,[46]
584.0,[47]
586.666667,"[45, 46, 47]"
588.0,[45]
590.666667,[45]
592.0,"[45, 46, 47]"
594.666667,[45]
597.333333,"[46, 47]"
600.0,"[46, 47]"
601.333333,[46]
602.666667,"[46, 47]"
604.0,[45]
605.333333,"[46, 48]"
606.666667,[46]
608.0,"[45, 47, 48]"
609.333333,[45]
610.666667,[45]
612.0,[47]
613.333333,"[45, 46, 47, 49]"
616.0,"[46, 47]"
617.333333,[45]
618.666667,[49]
620.0,"[45, 47]"
621.333333,[47]
622.666667,[48]
624.0,"[46, 48]"
625.333333,[45]
626.666667,"[46, 49]"
628.0,[46]
629.333333,"[47, 49]"
630.666667,[47]
632.0,[46]
633.333333,[49]
634.666667,"[47, 49]"
636.0,[46]
637.333333,[47]
640.0,"[45, 46, 47]"
641.333333,[45]
642.666667,[45]
644.0,[45]
645.333333,[45]
646.666667,[45]
648.0,[45]
650.666667,"[45, 46]"
653.333333,[46]
654.666667,[46]
656.0,"[45, 46]"
657.333333,[45]
658.666667,[46]
660.0,[47]
661.333333,"[45, 46, 47]"
662.666667,[45]
665.333333,[47]
666.666667,"[46, 47]"
669.333333,"[46, 47]"
670.666667,[45]
672.0,"[45, 46]"
673.333333,[47]
674.666667,[45]
676.0,[48]
677.333333,"[46, 48]"
678.666667,[45]
680.0,"[46, 47]"
681.333333,[46]
682.666667,"[46, 47]"
684.0,[47]
685.333333,[45]
686.666667,"[45, 49]"
688.0,[49]
689.333333,[46]
690.666667,[47]
693.333333,"[45, 46, 47]"
694.666667,[45]
697.333333,[45]
698.666667,"[45, 46, 47]"
700.0,[47]
701.333333,[45]
704.0,[46]
706.666667,"[45, 46, 47]"
708.0,[46]
709.333333,"[45, 46]"
710.666667,[45]
712.0,"[46, 48]"
713.333333,[48]
714.666667,"[46, 47, 48]"
716.0,[45]
717.333333,[45]
718.666667,[47]
720.0,"[46, 47, 48]"
722.666667,"[46, 47]"
724.0,[45]
725.333333,"[47, 48]"
726.666667,"[45, 47]"
728.0,[47]
729.333333,[48]
730.666667,"[45, 48]"
732.0,[45]
733.333333,[49]
734.666667,[46]
736.0,"[45, 49]"
737.333333,[47]
738.666667,[46]
740.0,"[46, 49]"
741.333333,"[47, 49]"
742.666667,[46]
744.0,[47]
746.666667,"[45, 46, 47, 48]"
748.0,[45]
749.333333,[45]
750.666667,[45]
752.0,[45]
753.333333,[47]
754.666667,[45]
757.333333,"[45, 46, 47]"
760.0,"[45, 46]"
761.333333,[46]
762.666667,"[45, 46]"
764.0,[45]
765.333333,[46]
766.666667,[49]
768.0,"[46, 47]"
769.333333,[45]
772.0,[47]
773.333333,"[45, 46, 47, 49]"
776.0,"[46, 47]"
777.333333,[45]
778.666667,"[46, 47]"
780.0,"[46, 47]"
781.333333,[45]
782.666667,[48]
784.0,"[46, 48]"
785.333333,[45]
786.666667,[47]
788.0,[46]
789.333333,"[47, 48]"
790.666667,[47]
792.0,[45]
793.333333,[49]
794.666667,"[45, 49]"
796.0,[46]
797.333333,[47]
800.0,"[45, 47, 49]"
801.333333,[45]
804.0,[45]
805.333333,"[45, 46, 47]"
806.666667,[45]
808.0,[45]
810.666667,"[46, 49]"
813.333333,"[46, 47]"
814.666667,[46]
816.0,"[46, 47]"
817.333333,[45]
818.666667,"[46, 48]"
820.0,[45]
821.333333,"[46, 47, 48]"
822.666667,[45]
824.0,[45]
825.333333,[47]
826.666667,"[45, 46, 47, 49]"
829.333333,"[46, 47]"
830.666667,[45]
832.0,"[47, 49]"
833.333333,[47]
834.666667,[47]
836.0,[48]
837.333333,"[46, 48]"
838.666667,[45]
840.0,"[45, 49]"
841.333333,[46]
842.666667,"[47, 49]"
844.0,[47]
845.333333,[46]
846.666667,[49]
848.0,"[47, 49]"
849.333333,[46]
850.666667,[47]
853.333333,"[45, 46, 47]"
854.666667,[45]
856.0,[45]
857.333333,[45]
858.666667,[45]
861.333333,[45]
864.0,"[45, 46]"
866.666667,"[46, 47]"
868.0,[46]
869.333333,"[45, 46]"
870.666667,[45]
872.0,[46]
873.333333,[46]
874.666667,"[45, 46, 47]"
876.0,[45]
878.666667,[47]
880.0,"[46, 47]"
882.666667,"[46, 47]"
884.0,[45]
885.333333,"[45, 46]"
886.666667,"[45, 47]"
888.0,[45]
889.333333,[48]
890.666667,"[46, 48]"
892.0,[45]
893.333333,"[46, 48]"
894.666667,[46]
896.0,"[45, 46, 47]"
897.333333,[47]
898.666667,[45]
900.0,[49]
901.333333,[49]
902.666667,[46]
904.0,[47]
906.666667,"[45, 46, 47, 48]"
908.0,[45]
910.666667,[45]
912.0,"[45, 46, 47]"
913.333333,[45]
914.666667,[45]
917.333333,"[45, 46]"
920.0,"[45, 46, 47]"
921.333333,[46]
922.666667,"[45, 46]"
924.0,[45]
925.333333,"[46, 48]"
926.666667,[47]
928.0,"[46, 47, 48]"
929.333333,[45]
930.666667,[45]
932.0,[47]
933.333333,"[47, 49]"
936.0,"[46, 47]"
937.333333,[45]
938.666667,"[46, 47]"
940.0,[47]
941.333333,[47]
942.666667,[48]
944.0,"[45, 48]"
945.333333,[45]
946.666667,"[46, 47, 49]"
948.0,[46]
949.333333,[49]
950.666667,[47]
952.0,[46]
953.333333,"[45, 49]"
954.666667,"[47, 49]"
956.0,[46]
957.333333,[47]
960.0,"[45, 46, 47, 49]"
961.333333,[45]
962.666667,[45]
964.0,[45]
965.333333,[45]
966.666667,[47]
968.0,[45]
970.666667,"[45, 46, 47]"
973.333333,"[46, 47]"
974.666667,[46]
976.0,"[45, 46]"
977.333333,[45]
978.666667,[46]
980.0,[48]
981.333333,"[46, 47]"
982.666667,[45]
985.333333,[47]
986.666667,"[46, 47, 48]"
989.333333,"[46, 47]"
990.666667,[45]
992.0,"[45, 46]"
993.333333,"[45, 47]"
994.666667,[45]
996.0,[48]
997.333333,"[46, 48]"
998.666667,[45]
1000.0,[49]
1001.333333,[46]
1002.666667,"[46, 47, 48]"
1004.0,[47]
1005.333333,[45]
1006.666667,"[46, 49]"
1008.0,"[45, 49]"
1009.333333,[46]
1010.666667,[47]
1013.333333,"[45, 47, 49]"
