Offset,MIDI
0.0,45
0.8,45
1.6,45
2.4,45
3.2,45
4.0,45
4.8,45
6.4,45
6.4,46
8.0,45
8.0,46
8.8,46
9.6,45
9.6,46
10.4,45
11.2,46
12.0,45
12.8,47
12.8,46
12.8,45
13.6,45
15.2,47
16.0,47
16.0,46
16.0,45
17.6,47
17.6,46
18.4,45
19.2,45
19.2,46
20.0,47
20.8,45
21.6,48
22.4,46
22.4,48
23.2,45
24.0,45
24.8,46
25.6,45
25.6,47
25.6,46
26.4,47
27.2,45
28.0,49
28.8,49
29.6,46
30.4,47
32.0,45
32.0,46
32.0,47
32.8,45
34.4,45
35.2,45
35.2,47
35.2,46
36.8,45
38.4,46
38.4,45
40.0,47
40.0,46
40.8,46
41.6,46
41.6,45
42.4,45
43.2,48
43.2,46
44.0,46
44.8,48
44.8,47
44.8,46
45.6,45
46.4,45
47.2,47
48.0,45
48.0,46
48.0,47
49.6,47
49.6,46
50.4,45
51.2,47
51.2,46
52.0,45
52.0,47
52.8,47
53.6,48
54.4,48
54.4,45
55.2,45
56.0,49
56.0,46
56.8,46
57.6,49
58.4,47
59.2,46
60.0,49
60.8,47
60.8,49
61.6,46
62.4,47
64.0,47
64.0,45
64.0,46
64.8,45
65.6,45
66.4,45
67.2,45
68.0,45
68.8,45
70.4,45
70.4,47
70.4,46
72.0,46
72.8,46
73.6,45
73.6,46
74.4,45
75.2,46
76.0,47
76.8,47
76.8,46
77.6,45
79.2,47
80.0,47
80.0,46
81.6,47
81.6,46
82.4,45
83.2,45
83.2,46
84.0,47
84.8,45
85.6,48
86.4,48
86.4,46
87.2,45
88.0,46
88.0,47
88.8,46
89.6,47
89.6,46
89.6,48
90.4,47
91.2,45
92.0,49
92.0,45
92.8,45
92.8,49
93.6,46
94.4,47
96.0,46
96.0,45
96.0,47
96.8,45
98.4,45
99.2,46
99.2,45
99.2,47
100.0,47
100.8,45
102.4,47
102.4,46
104.0,45
104.0,46
104.0,47
104.8,46
105.6,47
105.6,46
106.4,45
107.2,46
107.2,48
108.0,48
108.8,45
108.8,48
108.8,47
109.6,45
110.4,45
111.2,47
112.0,47
112.0,49
112.0,48
112.0,46
113.6,46
113.6,47
114.4,45
115.2,49
116.0,45
116.0,47
116.8,47
117.6,48
118.4,48
118.4,46
119.2,45
120.0,49
120.8,46
121.6,47
121.6,49
122.4,47
123.2,46
124.0,49
124.0,46
124.8,47
124.8,49
125.6,46
126.4,47
128.0,45
128.0,46
128.0,47
128.8,45
129.6,45
130.4,45
131.2,45
132.0,47
132.8,45
134.4,46
134.4,45
136.0,45
136.0,46
136.8,46
137.6,45
137.6,46
138.4,45
139.2,46
140.0,49
140.8,46
140.8,47
140.8,45
141.6,45
143.2,47
144.0,46
144.0,49
144.0,47
145.6,46
145.6,47
146.4,45
147.2,45
147.2,46
148.0,46
148.0,47
148.8,45
149.6,48
150.4,48
150.4,46
151.2,45
152.0,47
152.8,46
153.6,47
153.6,46
154.4,47
155.2,45
156.0,49
156.8,49
157.6,46
158.4,47
160.0,47
160.0,46
160.0,45
160.8,45
162.4,45
163.2,45
163.2,46
163.2,47
164.0,45
164.8,45
166.4,46
168.0,47
168.0,46
168.8,46
169.6,45
169.6,46
170.4,45
171.2,46
171.2,48
172.0,45
172.8,46
172.8,48
172.8,47
173.6,45
174.4,45
175.2,47
176.0,47
176.0,45
176.0,46
177.6,47
177.6,46
178.4,45
179.2,48
179.2,47
180.0,47
180.8,47
181.6,48
182.4,45
182.4,48
