Offset,MIDI
0.0,60
0.666667,60
1.333333,60
2.0,60
2.666667,60
3.333333,60
4.0,60
5.333333,60
5.333333,61
6.666667,61
6.666667,60
7.333333,61
8.0,60
8.0,61
8.666667,60
9.333333,61
10.0,60
10.666667,62
10.666667,60
10.666667,61
11.333333,60
12.666667,62
13.333333,62
13.333333,60
13.333333,61
14.666667,62
14.666667,61
15.333333,60
16.0,61
16.0,60
16.666667,62
17.333333,60
18.0,63
18.666667,61
18.666667,63
19.333333,60
20.0,60
20.666667,61
21.333333,62
21.333333,60
21.333333,61
22.0,62
22.666667,60
23.333333,64
24.0,64
24.666667,61
25.333333,62
26.666667,61
26.666667,60
26.666667,62
27.333333,60
28.666667,60
29.333333,61
29.333333,60
29.333333,62
30.666667,60
32.0,61
32.0,60
33.333333,61
33.333333,62
34.0,61
34.666667,60
34.666667,61
35.333333,60
36.0,63
36.0,61
36.666667,61
37.333333,63
37.333333,61
37.333333,62
38.0,60
38.666667,60
39.333333,62
40.0,62
40.0,60
40.0,61
41.333333,61
41.333333,62
42.0,60
42.666667,61
42.666667,62
43.333333,60
43.333333,62
44.0,62
44.666667,63
45.333333,63
45.333333,60
46.0,60
46.666667,64
46.666667,61
47.333333,61
48.0,64
48.666667,62
49.333333,61
50.0,64
50.666667,64
50.666667,62
51.333333,61
52.0,62
53.333333,61
53.333333,60
53.333333,62
54.0,60
54.666667,60
55.333333,60
56.0,60
56.666667,60
57.333333,60
58.666667,61
58.666667,62
58.666667,60
60.0,61
60.666667,61
61.333333,61
61.333333,60
62.0,60
62.666667,61
63.333333,62
64.0,62
64.0,61
64.666667,60
66.0,62
66.666667,61
66.666667,62
68.0,62
68.0,61
68.666667,60
69.333333,61
69.333333,60
70.0,62
70.666667,60
71.333333,63
72.0,63
72.0,61
72.666667,60
73.333333,62
73.333333,61
74.0,61
74.666667,61
74.666667,62
74.666667,63
75.333333,62
76.0,60
76.666667,60
76.666667,64
77.333333,60
77.333333,64
78.0,61
78.666667,62
80.0,62
80.0,60
80.0,61
80.666667,60
82.0,60
82.666667,61
82.666667,62
82.666667,60
83.333333,62
84.0,60
85.333333,62
85.333333,61
86.666667,61
86.666667,62
86.666667,60
87.333333,61
88.0,61
88.0,62
88.666667,60
89.333333,63
89.333333,61
90.0,63
90.666667,62
90.666667,60
90.666667,63
91.333333,60
92.0,60
92.666667,62
93.333333,62
93.333333,63
93.333333,61
93.333333,64
94.666667,62
94.666667,61
95.333333,60
96.0,64
96.666667,62
96.666667,60
97.333333,62
98.0,63
98.666667,61
98.666667,63
99.333333,60
100.0,64
100.666667,61
101.333333,62
101.333333,64
102.0,62
102.666667,61
103.333333,61
103.333333,64
104.0,62
104.0,64
104.666667,61
105.333333,62
106.666667,61
106.666667,62
106.666667,60
107.333333,60
108.0,60
108.666667,60
109.333333,60
110.0,62
110.666667,60
112.0,61
112.0,60
113.333333,60
113.333333,61
114.0,61
114.666667,60
114.666667,61
115.333333,60
116.0,61
116.666667,64
117.333333,60
117.333333,61
117.333333,62
118.0,60
119.333333,62
120.0,62
120.0,61
120.0,64
121.333333,61
121.333333,62
122.0,60
122.666667,60
122.666667,61
123.333333,61
123.333333,62
124.0,60
124.666667,63
125.333333,63
125.333333,61
126.0,60
126.666667,62
127.333333,61
128.0,62
128.0,61
128.666667,62
129.333333,60
130.0,64
130.666667,64
131.333333,61
132.0,62
133.333333,62
133.333333,60
133.333333,61
134.0,60
135.333333,60
136.0,61
136.0,60
136.0,62
136.666667,60
137.333333,60
138.666667,61
140.0,61
140.0,62
140.666667,61
141.333333,61
141.333333,60
142.0,60
142.666667,63
142.666667,61
143.333333,60
144.0,62
144.0,61
144.0,63
144.666667,60
145.333333,60
146.0,62
146.666667,60
146.666667,61
146.666667,62
148.0,62
148.0,61
148.666667,60
149.333333,63
149.333333,62
150.0,62
150.666667,62
151.333333,63
152.0,63
152.0,60
152.666667,60
153.333333,60
153.333333,64
154.0,61
154.666667,64
154.666667,60
155.333333,62
156.0,61
156.666667,64
157.333333,64
157.333333,62
158.0,61
158.666667,62
160.0,61
160.0,62
160.0,60
160.666667,60
161.333333,60
162.0,60
162.666667,60
164.0,60
165.333333,62
165.333333,60
165.333333,61
166.666667,61
166.666667,62
167.333333,61
168.0,60
168.0,61
168.666667,60
169.333333,61
170.0,61
170.666667,61
170.666667,62
171.333333,60
172.666667,62
173.333333,60
173.333333,61
173.333333,62
174.666667,61
174.666667,62
175.333333,60
176.0,62
176.0,61
176.666667,60
176.666667,62
177.333333,60
178.0,63
178.666667,61
178.666667,63
179.333333,60
180.0,61
180.0,63
180.666667,61
181.333333,62
181.333333,63
182.0,62
182.666667,60
183.333333,64
184.0,64
184.0,60
184.666667,61
185.333333,62
186.666667,60
186.666667,62
186.666667,61
186.666667,64
186.666667,63
187.333333,60
188.666667,60
189.333333,60
189.333333,61
189.333333,62
190.0,60
190.666667,60
192.0,64
192.0,61
193.333333,61
193.333333,62
193.333333,60
194.0,61
194.666667,61
194.666667,62
195.333333,60
196.0,61
196.0,63
196.666667,62
197.333333,62
197.333333,63
197.333333,61
198.0,60
198.666667,60
199.333333,62
200.0,62
200.0,64
201.333333,61
201.333333,62
202.0,60
202.666667,64
202.666667,62
203.333333,62
204.0,62
204.666667,63
205.333333,63
205.333333,61
206.0,60
206.666667,61
206.666667,62
206.666667,64
207.333333,61
208.0,62
208.0,64
208.666667,62
209.333333,61
210.0,64
210.0,60
210.666667,62
210.666667,64
211.333333,61
212.0,62
213.333333,61
213.333333,60
213.333333,62
214.0,60
214.666667,60
215.333333,60
216.0,60
216.666667,62
217.333333,60
218.666667,61
218.666667,60
220.0,61
220.0,62
220.666667,61
221.333333,60
221.333333,61
222.0,60
222.666667,61
223.333333,63
224.0,60
224.0,62
224.0,61
224.666667,60
226.0,62
226.666667,62
226.666667,60
226.666667,63
226.666667,61
228.0,62
228.0,61
228.666667,60
229.333333,60
229.333333,61
230.0,62
230.0,60
230.666667,60
231.333333,63
232.0,61
232.0,63
232.666667,60
233.333333,64
234.0,61
234.666667,62
234.666667,60
234.666667,61
235.333333,62
236.0,60
236.666667,61
236.666667,64
237.333333,64
238.0,61
238.666667,62
240.0,64
240.0,61
240.0,62
240.0,60
240.666667,60
242.0,60
242.666667,61
242.666667,62
242.666667,60
243.333333,62
244.0,60
245.333333,60
245.333333,61
246.666667,61
246.666667,62
247.333333,61
248.0,60
248.0,61
248.666667,60
249.333333,61
249.333333,63
250.0,64
250.666667,61
250.666667,62
250.666667,63
251.333333,60
252.0,60
252.666667,62
253.333333,62
253.333333,64
254.666667,62
254.666667,61
255.333333,60
256.0,62
256.0,61
256.666667,62
256.666667,61
257.333333,62
258.0,63
258.666667,60
258.666667,63
259.333333,60
