Offset,Midi
0.0,35
0.25,44
0.25,35
0.5,35
0.5,44
0.75,35
0.75,60
1.0,44
1.0,35
1.25,35
1.25,44
1.5,35
1.5,44
1.5,60
2.0,60
2.0,44
2.0,35
2.5,44
2.5,35
2.75,44
3.0,60
3.0,44
3.0,35
3.25,35
3.5,44
3.75,60
3.75,35
4.0,44
4.0,60
4.0,35
4.25,35
4.75,60
4.75,44
5.0,60
5.0,35
5.0,44
5.5,60
5.5,35
5.5,44
5.75,44
5.75,35
6.0,44
6.0,60
6.0,35
6.25,60
6.5,35
6.75,35
6.75,76
7.0,44
7.0,76
7.25,60
7.25,35
7.5,44
7.5,60
7.5,35
7.75,44
7.75,35
8.0,35
8.0,60
8.0,44
8.25,60
8.25,44
8.5,35
8.75,60
8.75,80
9.0,80
9.0,35
9.25,44
9.5,44
9.5,60
10.0,35
10.0,60
10.0,44
10.25,35
10.25,44
10.75,60
10.75,35
11.0,44
11.0,60
11.0,35
11.5,44
11.5,35
12.0,60
12.0,44
12.0,35
12.5,35
12.5,60
12.5,44
12.75,44
13.0,44
13.0,35
13.0,60
13.25,35
13.5,35
13.5,44
13.5,76
13.75,44
14.0,44
14.0,76
14.0,60
14.25,35
14.5,35
14.5,60
14.75,44
14.75,60
15.0,60
15.0,44
15.0,35
15.5,35
15.5,60
15.5,44
15.75,35
15.75,44
16.0,44
16.0,60
16.25,35
16.25,60
16.5,60
16.5,44
16.75,35
16.75,76
17.0,76
17.0,35
17.0,44
17.25,35
17.25,60
17.5,60
17.5,44
17.5,80
17.75,44
17.75,35
18.0,35
18.0,80
18.25,44
18.25,60
18.5,44
18.75,80
18.75,60
19.0,80
19.0,44
19.0,60
19.0,35
19.25,44
19.5,60
20.0,44
20.0,35
20.0,60
20.25,35
20.25,44
20.5,44
20.5,35
20.75,60
20.75,35
21.0,35
21.25,35
21.5,35
21.5,60
21.5,44
22.0,44
22.0,60
22.0,35
22.5,35
22.5,44
22.75,44
23.0,35
23.0,60
23.0,44
23.25,35
23.5,44
23.75,44
23.75,60
24.0,44
24.0,60
24.25,35
24.75,44
24.75,60
25.0,35
25.0,44
25.0,60
25.5,35
25.5,60
25.5,44
25.75,35
25.75,44
26.0,60
26.0,44
26.0,35
26.25,60
26.5,35
26.75,76
26.75,35
27.0,76
27.0,44
27.0,35
27.25,35
27.25,60
27.5,44
27.5,60
27.5,35
27.75,35
27.75,44
28.0,60
28.0,76
28.0,44
28.25,44
28.25,60
28.5,35
28.75,44
28.75,35
28.75,80
28.75,60
29.0,80
29.0,35
29.0,60
29.25,44
29.5,60
29.5,44
30.0,44
30.0,60
30.0,35
30.25,35
30.25,44
30.75,35
30.75,60
31.0,60
31.0,35
31.0,44
31.25,60
31.5,44
31.5,35
32.0,44
32.0,60
32.5,44
32.5,35
32.5,60
32.75,44
33.0,44
33.0,60
33.25,35
33.5,44
33.5,76
33.5,35
33.75,76
33.75,35
34.0,44
34.0,60
34.0,35
34.0,76
34.25,35
34.5,60
34.5,35
34.75,60
34.75,44
35.0,76
35.0,44
35.0,60
35.0,80
35.5,44
35.5,60
35.5,35
35.75,44
35.75,35
36.0,35
36.0,80
36.25,35
36.25,60
36.5,60
36.5,44
36.75,76
36.75,35
37.0,76
37.0,44
37.25,35
37.25,60
37.5,60
37.5,80
37.75,35
37.75,44
38.0,60
38.0,35
38.0,80
38.0,44
38.25,60
38.25,44
38.5,44
38.75,44
38.75,60
38.75,35
38.75,80
39.0,80
39.0,35
39.0,60
39.25,44
39.5,60
40.0,44
40.0,60
40.0,35
40.25,35
40.25,44
40.5,44
40.5,35
40.75,60
40.75,35
41.0,35
41.0,44
41.25,60
41.25,44
41.5,35
41.5,60
41.5,44
42.0,44
42.0,35
42.0,60
42.5,35
42.5,44
42.75,44
43.0,60
43.0,44
43.0,35
43.25,35
43.5,44
43.75,60
43.75,80
44.0,44
44.0,35
44.0,60
44.25,35
44.75,60
44.75,44
45.0,60
45.0,80
45.0,44
45.0,35
45.5,44
45.5,35
45.5,60
45.75,35
45.75,44
46.0,35
46.0,44
46.0,60
46.25,44
46.25,60
46.5,35
46.75,35
46.75,76
47.0,44
47.0,76
47.25,35
47.25,60
47.5,60
47.5,44
47.75,44
47.75,35
48.0,44
48.0,60
48.25,60
48.25,44
48.5,35
48.75,60
48.75,80
49.0,80
49.0,35
49.25,44
49.5,60
49.5,44
50.0,60
50.0,44
50.0,35
50.25,35
50.25,44
50.75,60
50.75,35
51.0,35
51.0,60
51.0,44
51.25,35
51.25,44
51.5,44
51.5,35
52.0,44
52.0,60
52.5,60
52.5,44
52.5,35
52.75,44
53.0,60
53.0,44
53.0,35
53.25,35
53.5,35
53.5,44
53.5,76
53.75,35
53.75,60
54.0,76
54.0,35
54.0,44
54.0,60
54.25,35
54.5,35
54.5,60
54.75,44
54.75,60
55.0,44
55.0,60
55.0,35
55.5,44
55.5,60
55.5,35
55.75,35
55.75,44
56.0,44
56.0,76
56.0,60
56.25,60
56.5,60
56.5,44
56.75,76
56.75,35
57.0,35
57.0,76
57.0,44
57.25,35
57.25,60
57.5,44
57.5,80
57.5,60
57.5,35
57.75,44
57.75,35
58.0,60
58.0,80
58.0,35
58.25,60
58.25,44
58.5,44
58.75,80
58.75,60
59.0,60
59.0,80
59.0,35
59.0,44
59.25,44
59.5,60
60.0,35
60.0,60
60.0,44
60.25,35
60.25,44
60.5,35
60.5,44
60.75,60
60.75,35
61.0,35
61.5,35
61.5,44
61.5,60
62.0,44
62.0,60
62.0,35
62.5,35
62.5,44
62.5,60
62.75,44
63.0,44
63.0,60
63.0,35
63.25,35
63.5,44
63.75,44
64.0,44
64.0,60
64.25,35
64.75,60
64.75,44
65.0,60
65.0,35
65.0,44
65.5,35
65.5,60
65.5,44
65.75,44
65.75,35
66.0,44
66.0,60
66.25,35
66.25,60
66.5,35
66.75,35
66.75,76
67.0,76
67.0,35
67.0,44
67.25,60
67.25,35
67.5,76
67.5,35
67.5,44
67.75,35
67.75,44
68.0,60
68.0,44
68.0,76
68.25,44
68.25,60
68.5,35
68.75,80
68.75,60
69.0,60
69.0,80
69.0,35
69.25,44
69.5,60
69.5,44
70.0,80
70.0,35
70.0,76
70.0,44
70.0,60
70.25,44
70.25,35
70.75,60
70.75,35
71.0,44
71.0,60
71.0,35
71.25,35
71.5,35
71.5,44
72.0,35
72.0,60
72.0,80
72.0,44
72.5,44
72.5,35
72.5,60
72.75,44
73.0,60
73.0,44
73.25,35
73.5,44
73.5,76
73.5,35
73.75,44
73.75,60
74.0,44
74.0,60
74.0,76
74.25,35
74.5,60
74.5,35
74.75,60
74.75,44
75.0,60
75.0,80
75.5,35
75.5,44
75.5,60
75.75,44
75.75,35
76.0,60
76.0,80
76.0,35
76.25,60
76.5,44
76.5,60
76.75,35
76.75,76
77.0,76
77.0,44
77.25,60
77.25,35
77.5,60
77.5,80
77.5,35
77.5,44
77.75,35
77.75,44
78.0,80
78.0,35
78.0,60
78.25,60
78.25,44
78.5,44
78.75,60
78.75,35
78.75,80
78.75,44
79.0,35
79.0,80
79.0,60
79.25,44
79.5,60
80.0,44
80.0,60
80.0,35
80.25,44
80.25,35
80.5,44
80.5,35
80.75,35
80.75,60
81.0,44
81.0,35
81.25,60
81.5,44
81.5,35
81.5,60
82.0,44
82.0,60
82.0,35
82.5,35
82.5,60
82.5,44
82.75,44
83.0,35
83.0,60
83.0,44
83.25,35
83.5,44
83.75,76
83.75,35
84.0,60
84.0,44
84.0,35
84.25,35
84.75,44
84.75,60
85.0,60
85.0,44
85.0,76
85.0,35
85.5,60
85.5,44
85.5,35
85.75,44
85.75,35
86.0,35
86.0,44
86.0,60
86.25,35
86.25,60
86.5,35
86.75,76
86.75,35
87.0,76
87.0,44
87.25,60
87.25,35
87.5,80
87.5,60
87.75,35
87.75,44
88.0,44
88.0,60
88.0,35
88.25,44
88.25,60
88.5,35
88.75,80
88.75,60
88.75,35
88.75,44
89.0,80
89.0,35
89.25,44
89.5,60
89.5,44
90.0,35
90.0,80
90.0,44
90.0,60
90.25,35
90.25,44
90.75,35
90.75,60
91.0,60
91.0,35
91.0,44
91.25,60
91.25,44
91.5,35
91.5,44
92.0,44
92.0,35
92.0,60
92.5,60
92.5,44
92.5,35
92.75,44
93.0,44
93.0,60
93.0,35
93.25,35
93.5,35
93.5,76
93.5,44
93.75,60
93.75,80
94.0,76
94.0,60
94.0,44
94.25,35
94.5,35
94.5,60
94.75,44
94.75,60
95.0,35
95.0,44
95.0,60
95.0,80
95.5,35
95.5,44
95.5,60
95.75,35
95.75,44
96.0,44
96.0,60
96.25,60
96.25,44
96.5,60
96.5,44
96.75,35
96.75,76
97.0,76
97.0,35
97.0,44
97.25,60
97.25,35
97.5,80
97.5,60
97.75,44
97.75,35
98.0,35
98.0,80
98.25,44
98.25,60
98.5,44
98.75,60
98.75,80
99.0,44
99.0,60
99.0,35
99.0,80
99.25,44
99.5,60
100.0,60
100.0,35
100.0,44
100.25,35
100.25,44
100.5,44
100.5,35
100.75,60
100.75,35
101.0,35
101.25,35
101.25,44
101.5,44
101.5,60
101.5,35
102.0,44
102.0,35
102.0,60
102.5,35
102.5,44
102.75,44
103.0,60
103.0,35
103.0,44
103.25,35
103.5,44
103.75,35
103.75,60
104.0,60
104.0,44
104.25,35
104.75,60
104.75,44
105.0,60
105.0,35
105.0,44
105.5,35
105.5,44
105.5,60
105.75,44
105.75,35
106.0,35
106.0,44
106.0,60
106.25,60
106.5,35
106.75,76
106.75,35
107.0,35
107.0,76
107.0,44
107.25,60
107.25,35
107.5,60
107.5,44
107.5,35
107.75,35
107.75,44
108.0,76
108.0,60
108.0,44
108.25,44
108.25,60
108.5,35
108.75,80
108.75,60
109.0,60
109.0,35
109.0,80
109.25,44
109.5,60
109.5,44
110.0,60
110.0,35
110.0,44
110.25,35
110.25,44
110.75,60
110.75,35
111.0,60
111.0,44
111.0,35
111.5,35
111.5,44
112.0,44
112.0,60
112.5,44
112.5,35
112.5,60
112.75,44
113.0,60
113.0,44
113.25,35
113.5,35
113.5,44
113.5,76
113.75,44
114.0,76
114.0,60
114.0,44
114.0,35
114.25,35
114.5,35
114.5,60
114.75,60
114.75,44
115.0,35
115.0,80
115.0,44
115.0,60
115.5,44
115.5,60
115.5,35
115.75,44
115.75,35
116.0,35
116.0,80
116.25,60
116.25,35
116.5,60
116.5,44
116.75,76
116.75,35
117.0,44
117.0,76
117.25,60
117.25,35
117.5,44
117.5,60
117.5,80
117.75,35
117.75,44
118.0,60
118.0,44
118.0,35
118.0,80
118.25,44
118.25,60
118.5,44
118.75,80
118.75,60
119.0,80
119.0,60
119.0,35
119.25,44
119.5,60
120.0,60
120.0,35
120.0,44
120.25,44
120.25,35
120.5,44
120.5,35
120.75,60
120.75,35
121.0,44
121.0,35
121.25,35
121.5,60
121.5,44
121.5,35
122.0,60
122.0,44
122.0,35
122.5,35
122.5,44
122.75,44
123.0,35
123.0,44
123.0,60
123.25,35
123.5,44
123.75,60
123.75,44
124.0,60
124.0,44
124.0,35
124.25,35
124.75,44
124.75,60
125.0,60
125.0,44
125.0,35
125.5,60
125.5,35
125.5,44
125.75,35
125.75,44
126.0,60
126.0,35
126.0,44
126.25,60
126.5,35
126.75,76
126.75,35
127.0,44
127.0,76
127.25,60
127.25,35
127.5,44
127.5,35
127.5,60
127.75,35
127.75,44
128.0,44
128.0,60
128.25,60
128.25,44
128.5,35
128.75,60
128.75,35
128.75,44
128.75,80
129.0,35
129.0,80
129.25,44
129.5,44
129.5,60
130.0,35
130.0,44
130.0,60
130.25,44
130.25,35
130.75,60
130.75,35
131.0,35
131.0,44
131.0,60
131.25,60
131.5,44
131.5,35
132.0,44
132.0,60
132.5,44
132.5,35
132.5,60
132.75,44
133.0,35
133.0,44
133.0,60
133.25,35
133.5,44
133.5,35
133.5,76
133.75,76
133.75,35
134.0,76
134.0,60
134.0,44
134.0,35
134.25,35
134.5,35
134.5,60
134.75,44
134.75,60
135.0,76
135.0,60
135.0,35
135.0,44
135.5,35
135.5,60
135.5,44
135.75,35
135.75,44
136.0,76
136.0,44
136.0,60
136.25,60
136.25,35
136.5,44
136.5,60
136.75,35
136.75,76
137.0,35
137.0,44
137.0,76
137.25,35
137.25,60
137.5,60
137.5,80
137.75,35
137.75,44
138.0,35
138.0,60
138.0,80
138.25,44
138.25,60
138.5,44
138.75,35
138.75,60
138.75,44
138.75,80
139.0,44
139.0,35
139.0,80
139.0,60
139.25,44
139.5,60
140.0,60
140.0,35
140.0,76
140.0,44
140.25,44
140.25,35
140.5,44
140.5,35
140.75,60
140.75,35
141.0,35
141.25,60
141.25,44
141.5,35
141.5,44
141.5,60
142.0,44
142.0,35
142.0,60
142.5,35
142.5,44
142.75,44
143.0,60
143.0,44
143.0,35
143.25,35
143.5,44
143.75,60
143.75,80
144.0,44
144.0,60
144.25,35
144.75,60
144.75,44
145.0,80
145.0,35
145.0,44
145.0,60
145.5,44
145.5,35
145.5,60
145.75,35
145.75,44
146.0,60
146.0,44
146.25,60
146.25,44
146.5,35
146.75,35
146.75,76
147.0,76
147.0,44
147.0,35
147.25,60
147.25,35
147.5,44
147.5,60
147.75,35
147.75,44
148.0,60
148.0,44
148.0,76
148.25,44
148.25,60
148.5,35
148.75,60
148.75,80
149.0,80
149.0,35
149.0,60
149.25,44
149.5,44
149.5,60
150.0,60
150.0,35
